<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,1.54@@1.54,?,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,67.73 ± 1.26 / 74.85 ± 0.78@@67.73,76.03 ± 0.77 / 67.64 ± 1.16@@76.03,59.73 ± 1.65 / 78.99 ± 1.07@@59.73,83.86 ± 0.46 / 69.31 ± 0.60@@83.86,42.07 ± 0.27 / 45.30 ± 0.25@@42.07,90.11 ± 0.67 / 92.66 ± 0.50@@90.11,73.03 ± 1.68 / 79.30 ± 1.33@@73.03,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.54@@1.54,59.61,?,?,200000.0,✓,✗,✗,✓,68.38 ± 1.81 / 71.88 ± 1.57@@68.38,78.23 ± 1.67 / 71.52 ± 1.39@@78.23,48.06 ± 4.23 / 72.09 ± 2.28@@48.06,78.91 ± 1.00 / 54.19 ± 1.26@@78.91,43.09 ± 0.30 / 46.94 ± 0.29@@43.09,89.46 ± 1.39 / 92.19 ± 1.05@@89.46,84.31 ± 2.07 / 88.09 ± 1.60@@84.31,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,1.55@@1.55,?,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,66.56 ± 1.33 / 73.09 ± 1.15@@66.56,82.85 ± 0.49 / 73.47 ± 1.04@@82.85,67.64 ± 1.76 / 83.34 ± 0.96@@67.64,80.26 ± 0.51 / 62.58 ± 0.68@@80.26,40.69 ± 0.16 / 44.02 ± 0.15@@40.69,90.58 ± 0.83 / 93.01 ± 0.62@@90.58,59.26 ± 1.30 / 69.22 ± 0.95@@59.26,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,1.57@@1.57,78.29,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,66.27 ± 1.22 / 73.46 ± 0.80@@66.27,73.30 ± 1.09 / 64.23 ± 1.45@@73.30,53.31 ± 2.10 / 76.17 ± 1.09@@53.31,82.51 ± 0.38 / 65.47 ± 0.76@@82.51,44.64 ± 0.22 / 46.60 ± 0.23@@44.64,79.90 ± 0.79 / 84.88 ± 0.59@@79.90,75.14 ± 1.28 / 81.29 ± 0.96@@75.14,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,1.57@@1.57,?,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,67.15 ± 1.64 / 69.16 ± 1.48@@67.15,84.35 ± 1.16 / 70.22 ± 1.50@@84.35,61.67 ± 1.80 / 80.27 ± 0.95@@61.67,82.31 ± 0.60 / 63.30 ± 0.95@@82.31,38.35 ± 0.51 / 39.37 ± 0.58@@38.35,92.06 ± 0.66 / 94.06 ± 0.50@@92.06,67.12 ± 1.13 / 74.80 ± 0.80@@67.12,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.58@@1.58,33.49,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,67.33 ± 1.28 / 72.18 ± 1.03@@67.33,74.40 ± 1.40 / 61.48 ± 1.58@@74.40,49.84 ± 1.39 / 74.01 ± 0.97@@49.84,83.24 ± 0.61 / 65.24 ± 0.99@@83.24,42.38 ± 0.09 / 46.19 ± 0.10@@42.38,87.34 ± 0.88 / 90.64 ± 0.65@@87.34,84.41 ± 0.88 / 88.26 ± 0.67@@84.41,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,📝,1.59@@1.59,0.01,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,65.59 ± 1.20 / 72.05 ± 1.05@@65.59,81.70 ± 0.64 / 73.15 ± 0.98@@81.70,66.22 ± 1.46 / 82.50 ± 0.82@@66.22,79.55 ± 0.54 / 61.17 ± 0.65@@79.55,40.04 ± 0.17 / 43.26 ± 0.19@@40.04,89.81 ± 0.95 / 92.42 ± 0.70@@89.81,61.16 ± 1.71 / 70.74 ± 1.30@@61.16,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,1.59@@1.59,17.65,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,67.02 ± 1.43 / 72.90 ± 0.94@@67.02,74.17 ± 0.99 / 69.31 ± 0.76@@74.17,61.04 ± 2.05 / 79.69 ± 1.24@@61.04,83.40 ± 3.70 / 68.23 ± 4.10@@83.40,42.20 ± 0.25 / 44.40 ± 0.30@@42.20,78.57 ± 1.32 / 84.28 ± 0.94@@78.57,70.29 ± 0.86 / 77.64 ± 0.65@@70.29,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.62@@1.62,0.0,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,69.29 ± 1.07 / 73.08 ± 0.55@@69.29,73.17 ± 1.28 / 69.65 ± 0.94@@73.17,50.74 ± 1.95 / 74.16 ± 1.33@@50.74,81.88 ± 0.88 / 62.66 ± 1.67@@81.88,41.07 ± 0.17 / 43.54 ± 0.23@@41.07,89.21 ± 1.25 / 92.11 ± 0.94@@89.21,76.40 ± 0.81 / 82.10 ± 0.63@@76.40,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,16.15.0.dev0@@161500,15.10.1.dev0@@151001,15.9.1@@150901
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.62@@1.62,30.69,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,64.49 ± 0.99 / 71.60 ± 0.79@@64.49,74.49 ± 1.25 / 66.72 ± 1.07@@74.49,49.52 ± 1.39 / 71.05 ± 0.86@@49.52,87.26 ± 0.47 / 73.93 ± 0.93@@87.26,43.31 ± 0.14 / 46.15 ± 0.20@@43.31,80.71 ± 1.22 / 85.62 ± 0.89@@80.71,76.68 ± 0.61 / 82.25 ± 0.49@@76.68,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.62@@1.62,?,?,100256.0,272000.0,✓,✗,✗,✓,67.90 ± 2.02 / 69.53 ± 1.58@@67.90,70.10 ± 1.61 / 49.44 ± 1.32@@70.10,48.69 ± 4.22 / 71.69 ± 2.40@@48.69,81.14 ± 0.97 / 64.56 ± 1.56@@81.14,42.94 ± 0.28 / 46.20 ± 0.25@@42.94,94.07 ± 1.27 / 95.55 ± 0.96@@94.07,74.90 ± 2.31 / 80.86 ± 1.77@@74.90,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.15.0.dev0@@161500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,1.63@@1.63,?,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,66.45 ± 0.83 / 70.74 ± 0.78@@66.45,74.59 ± 0.88 / 59.41 ± 1.08@@74.59,60.57 ± 1.72 / 80.00 ± 0.90@@60.57,83.82 ± 0.70 / 69.37 ± 0.87@@83.82,41.05 ± 0.22 / 45.19 ± 0.14@@41.05,90.65 ± 0.73 / 92.93 ± 0.57@@90.65,58.08 ± 1.57 / 67.77 ± 1.23@@58.08,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.64@@1.64,N/A,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,69.57 ± 0.79 / 68.84 ± 1.87@@69.57,61.80 ± 3.59 / 59.47 ± 2.58@@61.80,57.71 ± 2.58 / 78.38 ± 1.51@@57.71,85.89 ± 1.15 / 71.28 ± 2.39@@85.89,42.66 ± 3.76 / 45.26 ± 4.36@@42.66,94.85 ± 0.68 / 96.23 ± 0.51@@94.85,63.23 ± 2.83 / 70.86 ± 2.52@@63.23,16.5.0.dev0@@160500,15.5.0.dev0@@150500,16.5.0.dev0@@160500,15.5.0.dev0@@150500,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,1.64@@1.64,?,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,65.40 ± 1.20 / 71.04 ± 0.77@@65.40,75.60 ± 1.04 / 66.89 ± 1.08@@75.60,59.73 ± 1.60 / 79.16 ± 1.00@@59.73,81.94 ± 0.86 / 67.98 ± 1.29@@81.94,41.12 ± 0.21 / 44.67 ± 0.20@@41.12,86.07 ± 0.94 / 89.69 ± 0.69@@86.07,65.13 ± 1.02 / 73.12 ± 0.78@@65.13,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,1.65@@1.65,?,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,63.72 ± 0.56 / 68.11 ± 0.37@@63.72,80.46 ± 0.70 / 68.46 ± 1.10@@80.46,58.10 ± 1.75 / 77.41 ± 1.02@@58.10,77.83 ± 0.85 / 57.40 ± 1.51@@77.83,41.13 ± 0.11 / 44.40 ± 0.13@@41.13,89.70 ± 0.83 / 92.46 ± 0.60@@89.70,64.20 ± 1.00 / 73.07 ± 0.76@@64.20,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100,16.11.0.dev0@@161100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.65@@1.65,?,?,256128.0,1048576.0,✓,✗,✗,✓,66.73 ± 2.18 / 69.42 ± 2.01@@66.73,80.37 ± 0.95 / 60.44 ± 1.18@@80.37,48.08 ± 4.09 / 72.11 ± 2.19@@48.08,76.83 ± 0.98 / 58.51 ± 1.42@@76.83,43.57 ± 0.32 / 47.33 ± 0.30@@43.57,87.41 ± 1.58 / 90.35 ± 1.22@@87.41,61.83 ± 2.35 / 69.65 ± 1.85@@61.83,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.15.0.dev0@@161500,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.66@@1.66,?,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,66.82 ± 0.52 / 65.41 ± 1.30@@66.82,86.34 ± 1.34 / 80.47 ± 1.09@@86.34,55.76 ± 1.38 / 76.21 ± 0.96@@55.76,80.25 ± 0.78 / 65.41 ± 1.02@@80.25,38.40 ± 0.82 / 42.77 ± 0.64@@38.40,85.22 ± 0.95 / 89.06 ± 0.71@@85.22,65.53 ± 1.47 / 74.03 ± 1.11@@65.53,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.16.1.dev0@@161601,16.14.0.dev0@@161400,16.14.0.dev0@@161400
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.67@@1.67,33.04,?,?,400000.0,✓,✗,✗,✓,62.69 ± 1.20 / 66.80 ± 0.98@@62.69,75.91 ± 0.86 / 53.14 ± 0.67@@75.91,65.14 ± 1.04 / 81.29 ± 0.54@@65.14,82.31 ± 0.39 / 61.28 ± 0.72@@82.31,41.85 ± 0.13 / 45.24 ± 0.11@@41.85,87.22 ± 0.74 / 90.47 ± 0.55@@87.22,49.83 ± 1.47 / 62.23 ± 1.10@@49.83,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,1.67@@1.67,23.59,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,67.14 ± 1.40 / 72.74 ± 1.12@@67.14,67.67 ± 1.67 / 59.85 ± 1.21@@67.67,57.08 ± 2.10 / 77.94 ± 1.38@@57.08,84.55 ± 2.28 / 73.96 ± 2.78@@84.55,45.11 ± 0.37 / 47.54 ± 0.47@@45.11,69.17 ± 1.43 / 77.34 ± 1.00@@69.17,61.45 ± 2.43 / 70.76 ± 1.99@@61.45,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.14.0.dev0@@161400,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,1.68@@1.68,?,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,67.88 ± 1.66 / 74.40 ± 1.17@@67.88,84.82 ± 1.09 / 77.55 ± 1.34@@84.82,52.00 ± 1.47 / 71.71 ± 1.03@@52.00,82.22 ± 0.56 / 66.45 ± 0.57@@82.22,37.59 ± 0.73 / 38.66 ± 0.86@@37.59,85.59 ± 1.13 / 89.18 ± 0.85@@85.59,63.41 ± 1.06 / 71.17 ± 0.82@@63.41,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,1.68@@1.68,N/A,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,59.74 ± 1.10 / 67.37 ± 0.96@@59.74,69.76 ± 1.62 / 65.27 ± 1.13@@69.76,54.77 ± 2.64 / 76.80 ± 1.38@@54.77,84.67 ± 1.42 / 74.03 ± 2.17@@84.67,43.94 ± 1.34 / 47.48 ± 1.53@@43.94,86.30 ± 0.76 / 89.84 ± 0.55@@86.30,51.94 ± 2.80 / 61.41 ± 2.16@@51.94,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,1.69@@1.69,30.89,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,66.49 ± 1.22 / 72.28 ± 0.73@@66.49,74.09 ± 1.10 / 69.85 ± 0.94@@74.09,60.51 ± 1.67 / 79.59 ± 1.01@@60.51,74.22 ± 7.84 / 59.22 ± 8.87@@74.22,41.82 ± 0.30 / 44.05 ± 0.41@@41.82,78.98 ± 0.95 / 84.55 ± 0.70@@78.98,69.01 ± 1.01 / 76.68 ± 0.77@@69.01,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.69@@1.69,3.82,?,?,400000.0,✓,✗,✗,✓,64.03 ± 1.28 / 67.44 ± 0.88@@64.03,76.07 ± 0.87 / 52.75 ± 1.00@@76.07,61.37 ± 1.57 / 79.51 ± 0.86@@61.37,81.21 ± 0.40 / 61.46 ± 0.66@@81.21,42.26 ± 0.17 / 45.71 ± 0.16@@42.26,87.83 ± 0.82 / 90.94 ± 0.61@@87.83,47.23 ± 1.05 / 60.12 ± 0.81@@47.23,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.69@@1.69,1.48,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,66.58 ± 1.02 / 71.88 ± 0.68@@66.58,76.96 ± 1.12 / 68.31 ± 1.06@@76.96,47.40 ± 1.73 / 71.76 ± 1.56@@47.40,81.15 ± 0.87 / 61.49 ± 1.39@@81.15,41.41 ± 0.20 / 43.73 ± 0.28@@41.41,79.64 ± 1.08 / 85.00 ± 0.80@@79.64,74.74 ± 1.81 / 80.91 ± 1.45@@74.74,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,16.15.0.dev0@@161500,15.10.1.dev0@@151001,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.70@@1.70,?,?,100256.0,272000.0,✓,✗,✗,✓,67.93 ± 2.02 / 72.62 ± 1.57@@67.93,79.05 ± 1.17 / 64.56 ± 1.54@@79.05,45.38 ± 4.50 / 69.44 ± 2.35@@45.38,79.45 ± 0.84 / 61.65 ± 1.29@@79.45,41.97 ± 0.27 / 45.59 ± 0.25@@41.97,93.72 ± 0.97 / 95.31 ± 0.73@@93.72,56.45 ± 1.81 / 66.76 ± 1.45@@56.45,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.15.0.dev0@@161500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,1.71@@1.71,0.21,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,63.72 ± 1.29 / 70.85 ± 0.81@@63.72,68.77 ± 1.17 / 52.08 ± 1.76@@68.77,45.88 ± 1.95 / 72.36 ± 1.00@@45.88,77.81 ± 0.64 / 59.11 ± 1.39@@77.81,44.93 ± 0.14 / 48.36 ± 0.23@@44.93,83.89 ± 0.81 / 88.18 ± 0.58@@83.89,68.41 ± 0.95 / 76.11 ± 0.72@@68.41,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,17.0.0.dev0@@170000,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,1.72@@1.72,?,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,62.13 ± 1.37 / 68.54 ± 0.79@@62.13,78.14 ± 1.07 / 70.56 ± 1.54@@78.14,55.84 ± 2.09 / 75.79 ± 1.33@@55.84,75.80 ± 1.45 / 52.79 ± 2.82@@75.80,41.26 ± 0.18 / 43.68 ± 0.22@@41.26,85.79 ± 0.88 / 89.51 ± 0.66@@85.79,64.55 ± 1.31 / 73.27 ± 1.01@@64.55,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100,16.11.0.dev0@@161100
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,1.73@@1.73,?,?,?,400000.0,✓,✗,✗,✓,63.97 ± 1.39 / 68.03 ± 0.94@@63.97,66.13 ± 0.70 / 40.85 ± 0.69@@66.13,66.46 ± 1.68 / 82.51 ± 0.91@@66.46,81.46 ± 0.44 / 60.91 ± 0.68@@81.46,42.17 ± 0.13 / 45.65 ± 0.11@@42.17,84.76 ± 0.76 / 88.59 ± 0.57@@84.76,47.97 ± 0.81 / 60.51 ± 0.59@@47.97,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,1.73@@1.73,31.69,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,64.94 ± 1.13 / 70.79 ± 0.71@@64.94,71.10 ± 1.10 / 67.39 ± 0.86@@71.10,50.47 ± 1.59 / 74.12 ± 1.14@@50.47,83.22 ± 1.35 / 68.04 ± 1.78@@83.22,43.05 ± 1.27 / 45.20 ± 1.54@@43.05,74.26 ± 1.60 / 81.04 ± 1.17@@74.26,67.30 ± 0.91 / 75.43 ± 0.68@@67.30,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,1.73@@1.73,7.94,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,65.41 ± 0.94 / 71.87 ± 0.55@@65.41,71.78 ± 1.10 / 65.62 ± 1.47@@71.78,47.46 ± 1.66 / 70.90 ± 1.19@@47.46,85.20 ± 0.78 / 72.07 ± 1.34@@85.20,42.71 ± 0.10 / 45.52 ± 0.15@@42.71,77.63 ± 1.40 / 83.52 ± 1.04@@77.63,68.24 ± 1.16 / 75.82 ± 0.89@@68.24,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,1.74@@1.74,0.07,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,65.43 ± 2.57 / 71.41 ± 2.38@@65.43,68.01 ± 1.46 / 57.60 ± 2.26@@68.01,54.05 ± 3.38 / 76.26 ± 1.83@@54.05,81.57 ± 0.81 / 62.30 ± 1.62@@81.57,43.13 ± 0.16 / 46.70 ± 0.16@@43.13,80.48 ± 1.48 / 85.51 ± 1.05@@80.48,60.40 ± 2.91 / 69.02 ± 2.51@@60.40,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.74@@1.74,0.24,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,66.42 ± 1.00 / 71.36 ± 0.74@@66.42,76.46 ± 0.78 / 71.68 ± 1.15@@76.46,52.68 ± 1.76 / 75.52 ± 1.16@@52.68,76.36 ± 1.13 / 48.74 ± 2.69@@76.36,42.60 ± 0.15 / 45.81 ± 0.18@@42.60,72.75 ± 0.99 / 80.18 ± 0.67@@72.75,62.37 ± 1.67 / 71.31 ± 1.38@@62.37,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,1.75@@1.75,N/A,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,66.28 ± 0.99 / 66.32 ± 1.10@@66.28,62.56 ± 1.16 / 55.15 ± 1.06@@62.56,51.94 ± 2.54 / 74.80 ± 1.44@@51.94,88.53 ± 0.58 / 78.14 ± 0.74@@88.53,42.66 ± 1.37 / 45.34 ± 1.61@@42.66,88.57 ± 1.23 / 91.52 ± 0.92@@88.57,52.15 ± 2.85 / 62.89 ± 2.27@@52.15,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
