<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=15 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.59@@1.59,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,57.95 ± 3.02 / 69.00 ± 2.24@@57.95,71.32 ± 1.57 / 62.40 ± 2.85@@71.32,67.74 ± 2.83 / 58.26 ± 3.54@@67.74,63.54 ± 2.16 / 80.43 ± 1.36@@63.54,50.63 ± 2.36 / 71.48 ± 2.41@@50.63,77.42 ± 1.70 / 50.54 ± 3.08@@77.42,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16</a>,📝,1.59@@1.59,?,?,?,✓,✗,✗,✓,64.30 ± 0.89 / 76.10 ± 0.63@@64.30,74.40 ± 1.43 / 66.94 ± 2.52@@74.40,72.04 ± 1.42 / 65.71 ± 2.38@@72.04,61.11 ± 0.73 / 80.31 ± 0.39@@61.11,54.28 ± 2.06 / 76.86 ± 1.07@@54.28,66.82 ± 1.22 / 37.18 ± 1.19@@66.82,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.60@@1.60,?,256128.0,1048576.0,✓,✗,✗,✓,56.26 ± 2.63 / 67.75 ± 2.00@@56.26,66.90 ± 2.26 / 50.19 ± 1.90@@66.90,67.30 ± 3.65 / 51.49 ± 2.96@@67.30,76.24 ± 2.61 / 87.94 ± 1.34@@76.24,60.74 ± 1.95 / 79.55 ± 0.97@@60.74,71.29 ± 0.64 / 43.00 ± 1.33@@71.29,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,1.61@@1.61,70553706496.0,128256.0,8192.0,✓,✗,(✓),✗,62.46 ± 0.85 / 74.64 ± 0.61@@62.46,77.68 ± 1.22 / 60.19 ± 3.05@@77.68,77.46 ± 0.76 / 61.59 ± 4.63@@77.46,53.03 ± 2.11 / 75.60 ± 1.44@@53.03,40.80 ± 2.83 / 68.53 ± 3.01@@40.80,73.02 ± 2.97 / 47.56 ± 4.07@@73.02,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.62@@1.62,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,60.07 ± 1.14 / 72.17 ± 0.99@@60.07,77.27 ± 1.57 / 51.22 ± 2.14@@77.27,73.78 ± 1.30 / 52.99 ± 2.47@@73.78,60.56 ± 1.53 / 79.98 ± 0.88@@60.56,47.73 ± 1.55 / 73.07 ± 1.08@@47.73,71.02 ± 1.57 / 43.94 ± 1.96@@71.02,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/NbAiLab/nb-roberta-base-scandi'>NbAiLab/nb-roberta-base-scandi</a>,🔍,1.62@@1.62,278295700.0,250002.0,514.0,✓,✗,(✓),✗,54.61 ± 2.92 / 65.42 ± 4.86@@54.61,91.43 ± 0.63 / 91.19 ± 0.53@@91.43,86.60 ± 0.97 / 87.54 ± 0.98@@86.60,67.40 ± 1.72 / 81.99 ± 1.08@@67.40,65.30 ± 3.38 / 80.80 ± 2.41@@65.30,46.64 ± 10.39 / 34.42 ± 7.72@@46.64,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.63@@1.63,?,100256.0,272000.0,✓,✗,✗,✓,61.55 ± 2.21 / 71.45 ± 1.69@@61.55,66.57 ± 2.66 / 48.27 ± 2.67@@66.57,67.68 ± 3.28 / 52.10 ± 3.33@@67.68,67.15 ± 1.49 / 81.99 ± 0.89@@67.15,52.70 ± 2.60 / 73.95 ± 1.48@@52.70,70.63 ± 0.52 / 42.37 ± 1.42@@70.63,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (val)</a>,📝,1.63@@1.63,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,59.11 ± 1.60 / 70.43 ± 1.41@@59.11,68.34 ± 3.10 / 57.75 ± 4.42@@68.34,68.79 ± 2.11 / 55.90 ± 3.05@@68.79,62.74 ± 2.81 / 81.05 ± 1.51@@62.74,60.45 ± 3.32 / 79.74 ± 1.86@@60.45,69.87 ± 2.57 / 42.50 ± 3.91@@69.87,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,1.63@@1.63,?,?,200000.0,✓,✗,✗,✓,56.29 ± 2.34 / 69.94 ± 1.87@@56.29,64.31 ± 2.54 / 50.90 ± 2.79@@64.31,58.93 ± 2.74 / 46.48 ± 2.52@@58.93,77.46 ± 2.39 / 88.69 ± 1.19@@77.46,73.33 ± 2.53 / 86.56 ± 1.27@@73.33,67.54 ± 0.54 / 42.00 ± 1.47@@67.54,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.63@@1.63,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,58.19 ± 1.44 / 72.17 ± 1.11@@58.19,78.26 ± 1.22 / 70.18 ± 1.91@@78.26,75.05 ± 2.46 / 69.14 ± 2.08@@75.05,58.72 ± 1.74 / 79.08 ± 0.97@@58.72,43.88 ± 2.26 / 71.24 ± 1.65@@43.88,73.31 ± 3.78 / 46.86 ± 4.73@@73.31,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#thinking (zero-shot, val)</a>",🤔,1.63@@1.63,?,256128.0,1048576.0,✓,✗,✗,✓,58.83 ± 2.03 / 68.25 ± 1.68@@58.83,69.46 ± 2.45 / 51.19 ± 3.26@@69.46,69.12 ± 3.61 / 50.96 ± 3.38@@69.12,71.27 ± 2.07 / 85.59 ± 1.03@@71.27,54.73 ± 3.19 / 77.21 ± 1.58@@54.73,69.68 ± 0.81 / 39.88 ± 1.19@@69.68,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.63@@1.63,?,256128.0,1048576.0,✓,✗,✗,✓,52.84 ± 2.51 / 62.92 ± 1.93@@52.84,77.75 ± 1.68 / 71.53 ± 2.43@@77.75,81.18 ± 2.12 / 70.72 ± 2.28@@81.18,73.81 ± 2.86 / 86.80 ± 1.46@@73.81,46.14 ± 3.34 / 70.53 ± 1.92@@46.14,68.45 ± 0.87 / 38.02 ± 1.27@@68.45,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/NbAiLab/nb-roberta-base-ncc-plus-scandi-2e4'>NbAiLab/nb-roberta-base-ncc-plus-scandi-2e4</a>,🔍,1.64@@1.64,278045186.0,250002.0,514.0,✓,✗,(✓),✗,54.50 ± 2.92 / 66.26 ± 4.38@@54.50,90.37 ± 1.05 / 89.99 ± 1.04@@90.37,86.75 ± 1.32 / 87.79 ± 1.22@@86.75,66.81 ± 3.88 / 81.34 ± 2.81@@66.81,52.50 ± 10.93 / 72.88 ± 6.87@@52.50,51.08 ± 2.24 / 37.83 ± 2.06@@51.08,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.64@@1.64,?,256128.0,1048576.0,✓,✗,✗,✓,55.45 ± 2.79 / 67.12 ± 2.15@@55.45,74.17 ± 1.76 / 55.46 ± 2.75@@74.17,83.19 ± 2.10 / 70.78 ± 2.36@@83.19,68.68 ± 2.20 / 83.65 ± 1.20@@68.68,42.44 ± 2.82 / 68.13 ± 1.56@@42.44,69.90 ± 0.68 / 36.42 ± 1.23@@69.90,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/NbAiLab/nb-roberta-base-scandi-1e4'>NbAiLab/nb-roberta-base-scandi-1e4</a>,🔍,1.65@@1.65,278295700.0,250002.0,514.0,✓,✗,(✓),✗,54.50 ± 3.76 / 65.54 ± 5.17@@54.50,90.09 ± 0.63 / 90.02 ± 0.58@@90.09,85.32 ± 1.30 / 86.46 ± 0.98@@85.32,62.50 ± 7.46 / 77.86 ± 5.98@@62.50,65.86 ± 3.41 / 81.05 ± 2.49@@65.86,46.91 ± 3.39 / 34.55 ± 3.11@@46.91,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.65@@1.65,?,?,1047576.0,✓,✗,✗,✓,51.49 ± 3.39 / 66.60 ± 2.38@@51.49,71.34 ± 2.36 / 52.59 ± 3.22@@71.34,64.63 ± 3.07 / 40.68 ± 2.64@@64.63,78.88 ± 1.70 / 89.09 ± 0.93@@78.88,59.57 ± 2.03 / 76.98 ± 1.22@@59.57,71.09 ± 1.00 / 38.22 ± 1.59@@71.09,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,1.65@@1.65,23575680000.0,131072.0,32768.0,✓,✗,(✓),✗,57.43 ± 1.23 / 69.72 ± 1.59@@57.43,75.26 ± 1.55 / 59.98 ± 3.77@@75.26,74.46 ± 1.57 / 61.87 ± 4.04@@74.46,57.74 ± 1.57 / 78.62 ± 0.81@@57.74,44.35 ± 1.51 / 71.36 ± 1.10@@44.35,73.58 ± 3.96 / 47.21 ± 5.65@@73.58,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/ltg/norbert3-base'>ltg/norbert3-base</a>,🔍,1.65@@1.65,124032002.0,50000.0,512.0,✓,✗,(✓),✗,53.77 ± 3.77 / 65.75 ± 4.59@@53.77,84.75 ± 0.99 / 85.75 ± 0.85@@84.75,78.91 ± 0.98 / 80.70 ± 0.85@@78.91,61.83 ± 9.25 / 79.02 ± 5.00@@61.83,44.74 ± 10.49 / 70.18 ± 6.70@@44.74,69.67 ± 1.06 / 54.09 ± 1.17@@69.67,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.68@@1.68,?,256128.0,1048576.0,✓,✗,✗,✓,58.83 ± 2.03 / 68.25 ± 1.68@@58.83,69.46 ± 2.45 / 51.19 ± 3.26@@69.46,69.12 ± 3.61 / 50.96 ± 3.38@@69.12,71.27 ± 2.07 / 85.59 ± 1.03@@71.27,44.41 ± 2.75 / 70.18 ± 1.61@@44.41,69.68 ± 0.81 / 39.88 ± 1.19@@69.68,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/google/gemma-2-27b-it'>google/gemma-2-27b-it</a>,📝,1.68@@1.68,27227128320.0,256000.0,8192.0,✓,✗,(✓),✓,67.35 ± 0.59 / 78.51 ± 0.48@@67.35,64.41 ± 1.09 / 43.59 ± 2.13@@64.41,62.91 ± 1.02 / 45.02 ± 2.76@@62.91,60.47 ± 1.02 / 79.43 ± 0.71@@60.47,48.87 ± 1.81 / 74.12 ± 1.02@@48.87,70.06 ± 1.27 / 41.14 ± 1.58@@70.06,15.5.0@@150500,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.68@@1.68,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.79 ± 1.59 / 72.76 ± 1.53@@60.79,77.17 ± 0.84 / 68.28 ± 2.18@@77.17,74.22 ± 1.98 / 67.37 ± 2.15@@74.22,50.77 ± 1.74 / 72.57 ± 1.48@@50.77,35.43 ± 5.71 / 59.63 ± 5.54@@35.43,76.27 ± 4.33 / 51.97 ± 6.74@@76.27,16.5.0.dev0@@160500,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.5.0.dev0@@160500,16.5.0.dev0@@160500,15.9.1.dev0@@150901
<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (val)</a>,📝,1.68@@1.68,27400000000.0,262144.0,128000.0,✓,✗,✗,✓,64.84 ± 2.33 / 75.55 ± 1.61@@64.84,71.74 ± 1.20 / 68.48 ± 2.54@@71.74,67.96 ± 3.08 / 61.58 ± 3.08@@67.96,59.26 ± 1.76 / 78.87 ± 1.18@@59.26,51.70 ± 3.57 / 74.95 ± 1.83@@51.70,64.09 ± 1.51 / 33.06 ± 1.97@@64.09,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.68@@1.68,?,?,400000.0,✓,✗,✗,✓,54.25 ± 1.07 / 68.89 ± 0.83@@54.25,61.84 ± 1.45 / 40.83 ± 1.29@@61.84,69.96 ± 1.52 / 44.61 ± 1.24@@69.96,63.24 ± 1.27 / 81.54 ± 0.62@@63.24,62.47 ± 1.13 / 80.48 ± 0.66@@62.47,73.10 ± 0.45 / 43.76 ± 0.97@@73.10,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.68@@1.68,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,57.50 ± 1.02 / 71.04 ± 0.71@@57.50,66.42 ± 0.85 / 51.23 ± 2.10@@66.42,66.55 ± 1.14 / 55.16 ± 2.68@@66.55,62.07 ± 1.99 / 80.41 ± 1.24@@62.07,47.56 ± 1.67 / 71.01 ± 1.16@@47.56,78.03 ± 1.92 / 53.14 ± 3.33@@78.03,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.68@@1.68,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,58.26 ± 2.20 / 69.16 ± 2.04@@58.26,71.28 ± 1.03 / 67.11 ± 1.26@@71.28,72.23 ± 0.90 / 66.76 ± 1.29@@72.23,50.25 ± 2.99 / 74.11 ± 1.50@@50.25,46.21 ± 1.84 / 71.37 ± 1.34@@46.21,75.94 ± 2.47 / 53.03 ± 3.68@@75.94,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct</a>,📝,1.68@@1.68,108641793536.0,200000.0,?,✓,✗,(✓),✓,63.43 ± 0.71 / 75.45 ± 0.46@@63.43,69.65 ± 1.65 / 60.33 ± 3.25@@69.65,71.44 ± 1.18 / 62.59 ± 1.41@@71.44,58.38 ± 1.00 / 78.48 ± 0.48@@58.38,44.71 ± 2.20 / 70.31 ± 1.97@@44.71,68.52 ± 1.48 / 38.36 ± 2.07@@68.52,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.69@@1.69,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,58.02 ± 1.72 / 70.18 ± 1.36@@58.02,69.42 ± 0.89 / 57.55 ± 1.15@@69.42,71.45 ± 0.95 / 59.40 ± 1.55@@71.45,51.48 ± 2.53 / 75.52 ± 1.25@@51.48,41.34 ± 1.61 / 69.64 ± 1.06@@41.34,76.44 ± 1.86 / 52.97 ± 2.73@@76.44,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic</a>,📝,1.69@@1.69,28410968576.0,256000.0,8192.0,✓,✗,(✓),✗,67.19 ± 0.71 / 78.48 ± 0.53@@67.19,63.83 ± 1.21 / 44.42 ± 1.93@@63.83,63.28 ± 1.13 / 45.50 ± 2.53@@63.28,60.01 ± 1.52 / 79.13 ± 1.05@@60.01,48.91 ± 2.04 / 74.25 ± 1.13@@48.91,69.61 ± 1.10 / 40.77 ± 1.38@@69.61,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.69@@1.69,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,60.93 ± 2.03 / 74.35 ± 1.24@@60.93,63.13 ± 1.13 / 54.60 ± 3.05@@63.13,61.82 ± 1.56 / 53.95 ± 2.18@@61.82,61.06 ± 2.32 / 79.95 ± 1.59@@61.06,52.46 ± 2.63 / 75.17 ± 1.65@@52.46,73.98 ± 5.27 / 50.10 ± 6.45@@73.98,16.5.0.dev0@@160500,15.5.0@@150500,15.5.0@@150500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,15.5.0@@150500
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.69@@1.69,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,63.08 ± 0.90 / 75.35 ± 0.55@@63.08,66.67 ± 0.91 / 51.27 ± 1.19@@66.67,67.08 ± 1.32 / 53.15 ± 2.06@@67.08,63.35 ± 1.44 / 81.54 ± 0.75@@63.35,50.21 ± 1.73 / 74.70 ± 1.06@@50.21,66.84 ± 1.62 / 37.77 ± 1.59@@66.84,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-large'>KennethEnevoldsen/dfm-sentence-encoder-large</a>,🔍,1.70@@1.70,407389520.0,50000.0,512.0,✓,✗,(✓),✗,54.60 ± 3.01 / 66.46 ± 3.34@@54.60,84.54 ± 1.02 / 83.33 ± 0.71@@84.54,81.62 ± 0.95 / 80.60 ± 1.07@@81.62,57.67 ± 6.92 / 77.89 ± 3.30@@57.67,38.96 ± 7.90 / 67.89 ± 4.54@@38.96,67.96 ± 1.40 / 51.93 ± 1.31@@67.96,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (val)</a>,📝,1.70@@1.70,12187325040.0,262144.0,128000.0,✓,✗,✗,✓,62.27 ± 3.07 / 73.33 ± 2.18@@62.27,71.53 ± 2.32 / 51.19 ± 4.03@@71.53,73.99 ± 2.80 / 55.09 ± 3.76@@73.99,51.76 ± 2.96 / 74.69 ± 1.43@@51.76,46.80 ± 3.79 / 71.92 ± 2.13@@46.80,65.66 ± 1.70 / 35.40 ± 2.01@@65.66,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.70@@1.70,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,56.30 ± 1.57 / 68.83 ± 1.11@@56.30,75.34 ± 0.95 / 66.30 ± 1.31@@75.34,78.90 ± 1.27 / 67.44 ± 2.00@@78.90,56.77 ± 2.42 / 78.17 ± 1.22@@56.77,45.69 ± 1.49 / 71.97 ± 0.73@@45.69,67.68 ± 0.54 / 40.52 ± 1.38@@67.68,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.70@@1.70,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,59.26 ± 0.88 / 70.60 ± 0.71@@59.26,84.36 ± 1.22 / 75.89 ± 2.11@@84.36,83.77 ± 0.97 / 74.03 ± 2.09@@83.77,43.85 ± 1.60 / 65.42 ± 1.23@@43.85,35.35 ± 1.61 / 58.02 ± 1.22@@35.35,69.03 ± 0.76 / 39.07 ± 1.05@@69.03,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct</a>,📝,1.70@@1.70,70553706496.0,128256.0,8192.0,✓,✗,(✓),✗,62.03 ± 1.40 / 74.59 ± 0.99@@62.03,71.39 ± 1.68 / 49.07 ± 2.46@@71.39,71.86 ± 1.75 / 51.79 ± 4.33@@71.86,53.66 ± 0.80 / 76.02 ± 0.49@@53.66,43.91 ± 1.82 / 71.77 ± 1.06@@43.91,69.46 ± 1.92 / 43.52 ± 2.21@@69.46,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (val)</a>,📝,1.71@@1.71,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,59.85 ± 2.80 / 71.57 ± 1.77@@59.85,74.63 ± 2.94 / 50.80 ± 3.07@@74.63,71.22 ± 2.62 / 53.69 ± 2.92@@71.22,54.98 ± 4.04 / 76.79 ± 2.30@@54.98,44.88 ± 4.09 / 71.60 ± 2.47@@44.88,68.03 ± 3.18 / 39.80 ± 4.62@@68.03,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.71@@1.71,?,?,131072.0,✓,✗,✗,✓,55.69 ± 1.32 / 66.72 ± 1.01@@55.69,76.51 ± 0.84 / 74.61 ± 1.06@@76.51,73.99 ± 1.28 / 68.05 ± 1.11@@73.99,60.20 ± 1.26 / 79.23 ± 0.65@@60.20,38.11 ± 1.41 / 65.85 ± 0.92@@38.11,73.90 ± 0.27 / 47.40 ± 0.51@@73.90,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/vesteinn/ScandiBERT-no-faroese'>vesteinn/ScandiBERT-no-faroese</a>,🔍,1.71@@1.71,124498007.0,50005.0,514.0,✓,✗,(✓),✓,48.73 ± 3.08 / 56.98 ± 5.49@@48.73,90.02 ± 0.83 / 90.37 ± 0.75@@90.02,85.33 ± 1.35 / 86.67 ± 0.85@@85.33,66.42 ± 1.94 / 82.23 ± 1.34@@66.42,55.11 ± 7.40 / 75.65 ± 5.30@@55.11,53.92 ± 1.99 / 39.35 ± 1.73@@53.92,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://hf.co/ltg/norbert2'>ltg/norbert2</a>,🔍,1.72@@1.72,125165498.0,50104.0,512.0,✓,✗,(✓),✗,58.15 ± 1.06 / 70.72 ± 0.98@@58.15,86.05 ± 0.77 / 86.34 ± 0.46@@86.05,83.68 ± 1.12 / 84.28 ± 0.92@@83.68,66.88 ± 1.14 / 81.98 ± 0.80@@66.88,60.68 ± 1.52 / 78.78 ± 1.15@@60.68,42.24 ± 1.75 / 28.18 ± 1.33@@42.24,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
