<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.54@@1.54,?,?,256128.0,1048576.0,✓,✗,53.35 ± 1.63 / 64.08 ± 1.44@@53.35,62.75 ± 1.06 / 43.24 ± 1.70@@62.75,56.55 ± 3.75 / 77.56 ± 1.91@@56.55,76.16 ± 1.15 / 56.95 ± 1.63@@76.16,64.57 ± 0.18 / 14.12 ± 0.27@@64.57,88.79 ± 1.29 / 91.88 ± 1.00@@88.79,98.35 ± 1.26 / 98.89 ± 0.86@@98.35,69.24 ± 2.04 / 76.84 ± 1.59@@69.24,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,16.3.0.dev0@@160300,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.57@@1.57,68.32,12187325040.0,262144.0,8192.0,✓,✗,56.67 ± 1.45 / 71.25 ± 0.98@@56.67,60.61 ± 1.76 / 39.25 ± 2.41@@60.61,56.51 ± 1.91 / 77.61 ± 1.20@@56.51,74.86 ± 0.95 / 54.31 ± 1.13@@74.86,65.75 ± 0.12 / 17.04 ± 0.24@@65.75,80.25 ± 1.37 / 85.17 ± 1.04@@80.25,81.25 ± 1.98 / 87.45 ± 1.33@@81.25,70.92 ± 1.21 / 78.15 ± 0.92@@70.92,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,16.3.0.dev0@@160300,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.57@@1.57,?,?,100256.0,272000.0,✓,✗,52.74 ± 1.72 / 65.20 ± 1.62@@52.74,58.51 ± 1.51 / 44.11 ± 1.40@@58.51,63.20 ± 2.73 / 79.74 ± 1.58@@63.20,75.45 ± 1.25 / 56.61 ± 1.60@@75.45,64.30 ± 0.15 / 13.37 ± 0.28@@64.30,83.44 ± 1.94 / 87.66 ± 1.48@@83.44,93.34 ± 2.16 / 95.56 ± 1.45@@93.34,68.71 ± 1.73 / 76.56 ± 1.33@@68.71,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.3.0.dev0@@160300,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.57@@1.57,91.09,?,?,200000.0,✓,✗,55.86 ± 1.55 / 68.73 ± 1.16@@55.86,57.76 ± 1.98 / 44.22 ± 2.12@@57.76,58.02 ± 3.36 / 76.96 ± 1.79@@58.02,75.72 ± 1.09 / 52.27 ± 1.80@@75.72,64.13 ± 0.15 / 13.73 ± 0.28@@64.13,81.77 ± 2.27 / 86.72 ± 1.95@@81.77,95.58 ± 1.86 / 97.00 ± 1.30@@95.58,71.74 ± 1.33 / 78.67 ± 1.03@@71.74,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.58@@1.58,?,?,256128.0,1048576.0,✓,✗,53.19 ± 2.34 / 63.43 ± 1.83@@53.19,59.47 ± 1.92 / 44.54 ± 2.25@@59.47,74.06 ± 2.21 / 86.97 ± 1.12@@74.06,74.46 ± 1.08 / 56.10 ± 1.55@@74.46,63.85 ± 0.34 / 13.45 ± 0.35@@63.85,80.23 ± 1.87 / 85.47 ± 1.52@@80.23,92.58 ± 1.80 / 95.00 ± 1.27@@92.58,55.38 ± 2.17 / 66.09 ± 1.75@@55.38,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.3.0.dev0@@160300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.60@@1.60,83.43,?,?,1047576.0,✓,✗,54.29 ± 1.23 / 68.62 ± 0.87@@54.29,54.71 ± 1.91 / 37.16 ± 1.68@@54.71,62.69 ± 2.75 / 79.90 ± 1.49@@62.69,77.67 ± 1.11 / 55.16 ± 1.55@@77.67,64.98 ± 0.18 / 14.53 ± 0.32@@64.98,73.43 ± 4.34 / 80.47 ± 3.17@@73.43,92.54 ± 1.93 / 95.00 ± 1.31@@92.54,66.71 ± 1.80 / 74.57 ± 1.47@@66.71,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,16.3.0.dev0@@160300,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.64@@1.64,77.61,14765947904.0,151665.0,131072.0,✓,✗,54.87 ± 1.91 / 70.11 ± 1.39@@54.87,63.59 ± 1.67 / 44.74 ± 2.74@@63.59,47.52 ± 1.26 / 71.76 ± 1.08@@47.52,78.34 ± 0.76 / 59.93 ± 0.68@@78.34,65.59 ± 0.09 / 16.89 ± 0.25@@65.59,68.81 ± 1.14 / 76.61 ± 0.85@@68.81,79.93 ± 2.00 / 86.55 ± 1.34@@79.93,70.04 ± 0.93 / 77.38 ± 0.71@@70.04,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.3.0.dev0@@160300,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.66@@1.66,59.7,14768307200.0,151936.0,40960.0,✓,✗,55.22 ± 1.49 / 70.54 ± 1.07@@55.22,56.38 ± 2.24 / 39.31 ± 3.17@@56.38,52.34 ± 1.67 / 74.01 ± 1.01@@52.34,82.01 ± 0.95 / 65.02 ± 1.24@@82.01,65.22 ± 0.15 / 15.37 ± 0.31@@65.22,72.49 ± 1.48 / 79.34 ± 1.12@@72.49,70.70 ± 2.43 / 80.40 ± 1.57@@70.70,66.87 ± 0.86 / 74.93 ± 0.65@@66.87,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.3.0.dev0@@160300,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.67@@1.67,1.71,30532122624.0,151936.0,262144.0,✓,✗,56.21 ± 1.14 / 70.61 ± 0.65@@56.21,55.57 ± 2.68 / 33.29 ± 1.97@@55.57,50.78 ± 1.58 / 75.01 ± 0.78@@50.78,76.97 ± 1.00 / 56.71 ± 0.76@@76.97,64.36 ± 0.09 / 13.42 ± 0.15@@64.36,76.65 ± 1.06 / 82.51 ± 0.79@@76.65,80.04 ± 2.44 / 86.70 ± 1.59@@80.04,73.03 ± 0.49 / 79.70 ± 0.37@@73.03,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.3.0.dev0@@160300,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.69@@1.69,?,?,100256.0,272000.0,✓,✗,55.99 ± 1.83 / 69.05 ± 1.27@@55.99,63.98 ± 1.87 / 52.23 ± 1.57@@63.98,55.66 ± 1.93 / 74.99 ± 1.01@@55.66,77.09 ± 1.26 / 56.74 ± 1.62@@77.09,63.80 ± 0.17 / 12.50 ± 0.27@@63.80,62.56 ± 4.03 / 72.50 ± 3.00@@62.56,93.04 ± 1.82 / 95.22 ± 1.30@@93.04,52.21 ± 2.07 / 64.18 ± 1.57@@52.21,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.3.0.dev0@@160300,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,1.72@@1.72,?,81324862720.0,151936.0,262144.0,✓,✗,55.14 ± 1.54 / 68.35 ± 1.12@@55.14,66.13 ± 2.47 / 47.99 ± 2.23@@66.13,30.49 ± 1.76 / 57.40 ± 1.13@@30.49,70.60 ± 0.85 / 53.98 ± 0.90@@70.60,63.00 ± 0.21 / 13.69 ± 0.19@@63.00,72.63 ± 1.68 / 79.38 ± 1.27@@72.63,95.55 ± 0.89 / 97.03 ± 0.60@@95.55,77.89 ± 0.84 / 83.40 ± 0.64@@77.89,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.74@@1.74,N/A,12187325040.0,262144.0,8192.0,✓,✗,52.97 ± 1.46 / 68.16 ± 1.25@@52.97,52.50 ± 1.99 / 39.05 ± 2.94@@52.50,55.08 ± 3.08 / 75.47 ± 2.69@@55.08,78.07 ± 1.49 / 63.27 ± 1.62@@78.07,68.46 ± 0.29 / 24.78 ± 0.54@@68.46,80.57 ± 1.09 / 85.17 ± 0.85@@80.57,89.47 ± 1.12 / 92.91 ± 0.77@@89.47,41.90 ± 2.06 / 54.57 ± 1.81@@41.90,16.5.0.dev0@@160500,15.5.0@@150500,16.5.0.dev0@@160500,16.3.0.dev0@@160300,15.5.0@@150500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.75@@1.75,33.46,7849978192.0,262400.0,8192.0,✓,✗,55.41 ± 1.98 / 70.30 ± 1.55@@55.41,61.33 ± 1.52 / 38.40 ± 2.76@@61.33,47.41 ± 2.05 / 69.86 ± 2.17@@47.41,72.75 ± 1.69 / 46.88 ± 3.17@@72.75,65.02 ± 0.10 / 14.97 ± 0.21@@65.02,72.32 ± 0.83 / 79.08 ± 0.61@@72.32,72.37 ± 2.07 / 81.26 ± 1.37@@72.37,57.72 ± 0.90 / 67.72 ± 0.71@@57.72,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,1.75@@1.75,41.41,70599864480.0,131072.0,65536.0,✗,✗,55.44 ± 1.35 / 70.10 ± 0.85@@55.44,50.03 ± 1.83 / 26.96 ± 1.93@@50.03,53.91 ± 1.54 / 74.74 ± 1.48@@53.91,74.58 ± 0.97 / 55.14 ± 0.73@@74.58,65.18 ± 0.25 / 15.45 ± 0.67@@65.18,73.43 ± 1.02 / 79.81 ± 0.78@@73.43,81.47 ± 1.33 / 87.50 ± 0.93@@81.47,59.32 ± 1.16 / 69.20 ± 0.90@@59.32,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.3.0.dev0@@160300,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.0.0.dev0@@160000,15.16.0.dev0@@151600
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,1.76@@1.76,67.08,32207337984.0,100352.0,131072.0,✓,✗,51.79 ± 2.01 / 67.79 ± 1.18@@51.79,59.18 ± 1.79 / 42.58 ± 4.65@@59.18,41.63 ± 1.32 / 69.55 ± 0.74@@41.63,75.65 ± 1.18 / 58.02 ± 1.25@@75.65,66.38 ± 0.24 / 18.97 ± 0.62@@66.38,61.54 ± 1.49 / 71.10 ± 1.12@@61.54,79.40 ± 1.67 / 85.75 ± 1.22@@79.40,67.85 ± 0.94 / 75.62 ± 0.72@@67.85,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://www.ordbogen.ai/docs/models/odin-medium'>ordbogen/odin-medium (zero-shot, val)</a>",🤔,1.77@@1.77,?,?,?,131072.0,✓,✗,52.70 ± 1.52 / 66.04 ± 1.02@@52.70,64.65 ± 1.32 / 51.45 ± 2.09@@64.65,53.98 ± 3.73 / 74.36 ± 2.18@@53.98,69.69 ± 1.08 / 53.17 ± 1.19@@69.69,63.38 ± 0.15 / 11.89 ± 0.31@@63.38,62.69 ± 2.68 / 71.88 ± 1.83@@62.69,96.05 ± 1.26 / 97.33 ± 0.87@@96.05,50.63 ± 2.06 / 62.97 ± 1.56@@50.63,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,1.78@@1.78,N/A,70599864480.0,131072.0,65536.0,✓,✗,54.83 ± 2.43 / 69.27 ± 2.14@@54.83,49.26 ± 2.21 / 37.72 ± 3.63@@49.26,54.66 ± 3.57 / 76.04 ± 2.21@@54.66,79.56 ± 1.37 / 64.59 ± 1.63@@79.56,68.32 ± 0.25 / 24.57 ± 0.57@@68.32,75.48 ± 1.51 / 81.45 ± 1.14@@75.48,81.27 ± 1.93 / 87.45 ± 1.31@@81.27,38.08 ± 3.57 / 50.64 ± 3.09@@38.08,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,1.81@@1.81,91.88,27432406640.0,262144.0,8192.0,✓,✗,52.32 ± 0.93 / 65.90 ± 0.63@@52.32,50.45 ± 1.28 / 31.26 ± 0.92@@50.45,47.91 ± 1.14 / 71.07 ± 0.61@@47.91,75.64 ± 0.85 / 54.85 ± 0.72@@75.64,64.39 ± 0.08 / 14.17 ± 0.10@@64.39,81.18 ± 0.83 / 85.83 ± 0.63@@81.18,87.61 ± 0.97 / 91.66 ± 0.67@@87.61,59.37 ± 0.88 / 68.63 ± 0.67@@59.37,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.10.1.dev0@@161001,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.82@@1.82,68.72,?,256128.0,1048576.0,✓,✗,51.47 ± 2.08 / 65.99 ± 1.63@@51.47,51.18 ± 1.84 / 30.17 ± 1.30@@51.18,47.21 ± 3.73 / 73.09 ± 1.81@@47.21,78.31 ± 1.26 / 58.59 ± 1.79@@78.31,64.08 ± 0.20 / 13.61 ± 0.29@@64.08,74.10 ± 2.74 / 80.31 ± 2.15@@74.10,90.45 ± 2.89 / 93.44 ± 2.09@@90.45,60.42 ± 1.81 / 70.00 ± 1.50@@60.42,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.3.0.dev0@@160300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,1.82@@1.82,?,110468824832.0,151552.0,131072.0,✓,✗,56.20 ± 1.22 / 70.00 ± 0.84@@56.20,65.98 ± 1.91 / 51.52 ± 1.61@@65.98,59.54 ± 1.11 / 79.60 ± 0.58@@59.54,31.28 ± 0.76 / 0.00 ± 0.00@@31.28,62.75 ± 0.15 / 12.21 ± 0.23@@62.75,78.49 ± 1.42 / 83.90 ± 1.06@@78.49,93.11 ± 0.88 / 95.37 ± 0.60@@93.11,60.50 ± 0.55 / 70.33 ± 0.40@@60.50,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.3.0.dev0@@160300,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,1.83@@1.83,6.79,21511953984.0,201088.0,131072.0,✓,✗,54.21 ± 1.24 / 69.50 ± 0.80@@54.21,64.23 ± 1.54 / 46.83 ± 1.18@@64.23,47.64 ± 1.20 / 71.86 ± 0.69@@47.64,71.43 ± 0.88 / 50.59 ± 1.09@@71.43,63.42 ± 0.14 / 12.22 ± 0.20@@63.42,49.22 ± 7.35 / 60.14 ± 7.19@@49.22,84.58 ± 0.80 / 89.64 ± 0.54@@84.58,53.97 ± 1.21 / 65.20 ± 1.02@@53.97,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,1.84@@1.84,?,110468824832.0,151552.0,131072.0,✓,✗,55.62 ± 1.72 / 70.00 ± 1.39@@55.62,63.32 ± 1.88 / 55.77 ± 1.86@@63.32,43.69 ± 4.50 / 64.33 ± 4.37@@43.69,34.30 ± 1.32 / 0.00 ± 0.00@@34.30,65.22 ± 0.20 / 17.63 ± 0.72@@65.22,80.81 ± 1.28 / 85.43 ± 1.02@@80.81,90.18 ± 1.06 / 93.35 ± 0.70@@90.18,66.58 ± 0.65 / 74.09 ± 0.55@@66.58,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.3.0.dev0@@160300,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,1.86@@1.86,49.29,22637328384.0,128000.0,32768.0,✓,✗,53.09 ± 0.81 / 64.80 ± 1.45@@53.09,54.66 ± 1.85 / 36.26 ± 2.77@@54.66,62.09 ± 2.26 / 80.26 ± 1.47@@62.09,48.28 ± 3.43 / 26.91 ± 2.90@@48.28,65.18 ± 0.17 / 15.47 ± 0.48@@65.18,67.32 ± 1.28 / 75.36 ± 0.93@@67.32,84.65 ± 1.54 / 89.62 ± 1.08@@84.65,57.26 ± 1.68 / 67.60 ± 1.24@@57.26,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,1.87@@1.87,0.04,22637328384.0,128000.0,4096.0,✓,✗,52.45 ± 1.18 / 68.37 ± 0.83@@52.45,48.74 ± 1.97 / 31.39 ± 2.24@@48.74,51.19 ± 2.46 / 73.90 ± 2.23@@51.19,76.94 ± 0.51 / 59.63 ± 0.67@@76.94,65.02 ± 0.10 / 14.99 ± 0.31@@65.02,64.51 ± 1.34 / 72.95 ± 0.96@@64.51,79.35 ± 1.32 / 85.77 ± 0.97@@79.35,50.47 ± 0.86 / 61.52 ± 0.62@@50.47,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,16.3.0.dev0@@160300,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.88@@1.88,?,4022468096.0,151936.0,262144.0,✓,✗,52.23 ± 1.07 / 65.76 ± 0.97@@52.23,68.96 ± 2.07 / 50.68 ± 1.55@@68.96,35.02 ± 1.58 / 62.12 ± 1.31@@35.02,73.19 ± 1.02 / 56.21 ± 1.14@@73.19,65.08 ± 0.28 / 16.21 ± 0.84@@65.08,48.60 ± 3.07 / 61.41 ± 2.28@@48.60,71.19 ± 1.76 / 80.78 ± 1.17@@71.19,52.47 ± 0.80 / 64.23 ± 0.61@@52.47,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,1.89@@1.89,20.55,11168796672.0,32128.0,32768.0,✓,✗,54.89 ± 1.01 / 70.01 ± 0.54@@54.89,60.82 ± 2.36 / 40.34 ± 1.96@@60.82,57.84 ± 1.51 / 77.99 ± 0.78@@57.84,26.00 ± 1.02 / 0.04 ± 0.05@@26.00,65.44 ± 0.18 / 16.18 ± 0.52@@65.44,74.54 ± 1.76 / 80.78 ± 1.30@@74.54,80.89 ± 1.69 / 87.12 ± 1.11@@80.89,60.64 ± 2.88 / 70.00 ± 2.33@@60.64,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,1.90@@1.90,55.43,8190735360.0,151936.0,40960.0,✓,✗,51.61 ± 2.50 / 68.14 ± 1.79@@51.61,58.03 ± 1.26 / 42.21 ± 1.99@@58.03,41.99 ± 1.95 / 67.95 ± 1.65@@41.99,76.43 ± 1.14 / 57.90 ± 1.53@@76.43,65.37 ± 0.12 / 15.80 ± 0.26@@65.37,58.35 ± 2.16 / 68.81 ± 1.61@@58.35,65.65 ± 1.59 / 76.84 ± 1.07@@65.65,51.91 ± 0.44 / 63.30 ± 0.33@@51.91,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.3.0.dev0@@160300,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,1.90@@1.90,92.08,?,?,200000.0,✓,✗,56.46 ± 2.39 / 71.07 ± 1.48@@56.46,59.48 ± 1.97 / 42.21 ± 2.53@@59.48,20.57 ± 3.78 / 49.85 ± 2.21@@20.57,73.17 ± 1.09 / 45.46 ± 1.87@@73.17,64.38 ± 0.17 / 13.19 ± 0.29@@64.38,83.37 ± 2.33 / 87.97 ± 1.77@@83.37,88.48 ± 2.94 / 92.27 ± 2.00@@88.48,53.88 ± 2.69 / 64.65 ± 2.18@@53.88,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,16.3.0.dev0@@160300,14.0.1@@140001,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,1.92@@1.92,24.5,21511953984.0,201088.0,131072.0,✓,✗,48.04 ± 3.45 / 63.49 ± 3.27@@48.04,62.52 ± 1.73 / 46.55 ± 1.40@@62.52,44.49 ± 1.26 / 69.01 ± 0.73@@44.49,70.41 ± 0.84 / 48.95 ± 0.94@@70.41,64.19 ± 0.23 / 13.80 ± 0.50@@64.19,57.01 ± 2.03 / 67.80 ± 1.54@@57.01,80.17 ± 1.80 / 86.69 ± 1.20@@80.17,52.70 ± 1.71 / 64.09 ± 1.35@@52.70,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,1.94@@1.94,97.47,32234279936.0,100352.0,4096.0,✗,✗,56.24 ± 1.80 / 70.73 ± 1.38@@56.24,57.42 ± 1.84 / 29.69 ± 1.11@@57.42,30.52 ± 1.84 / 56.06 ± 2.43@@30.52,69.49 ± 1.08 / 45.96 ± 1.77@@69.49,64.07 ± 0.14 / 15.40 ± 0.45@@64.07,63.99 ± 2.11 / 73.00 ± 1.58@@63.99,75.10 ± 1.43 / 82.91 ± 0.96@@75.10,57.28 ± 1.15 / 67.66 ± 0.88@@57.28,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,16.3.0.dev0@@160300,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
