<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.54@@2.54,4.34,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,44.81 ± 1.19 / 61.39 ± 1.09@@44.81,67.94 ± 2.50 / 47.78 ± 5.07@@67.94,22.46 ± 1.67 / 59.93 ± 1.15@@22.46,56.79 ± 1.93 / 29.43 ± 1.17@@56.79,37.49 ± 0.41 / 39.26 ± 0.57@@37.49,32.32 ± 1.14 / 48.50 ± 0.96@@32.32,35.63 ± 1.55 / 67.03 ± 0.92@@35.63,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.15.0.dev0@@161500,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.60@@2.60,N/A,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,48.54 ± 1.66 / 64.72 ± 1.31@@48.54,68.26 ± 1.78 / 57.15 ± 3.82@@68.26,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,64.34 ± 1.40 / 36.07 ± 2.11@@64.34,37.90 ± 0.64 / 39.88 ± 0.77@@37.90,36.20 ± 1.61 / 51.76 ± 1.21@@36.20,36.19 ± 2.24 / 67.75 ± 1.34@@36.19,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.60@@2.60,95.28,?,?,400000.0,✓,✗,✗,✓,51.52 ± 1.39 / 61.62 ± 0.95@@51.52,34.94 ± 1.07 / 17.54 ± 0.47@@34.94,30.26 ± 1.79 / 62.09 ± 1.08@@30.26,51.44 ± 0.71 / 29.27 ± 0.70@@51.44,35.37 ± 0.12 / 40.82 ± 0.12@@35.37,33.12 ± 1.42 / 49.38 ± 1.09@@33.12,54.20 ± 2.51 / 76.88 ± 1.38@@54.20,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.61@@2.61,?,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,50.09 ± 1.44 / 61.60 ± 1.37@@50.09,51.62 ± 3.36 / 47.44 ± 2.87@@51.62,25.89 ± 2.05 / 59.83 ± 1.21@@25.89,32.83 ± 1.23 / 20.66 ± 0.90@@32.83,33.78 ± 0.43 / 35.79 ± 0.52@@33.78,37.25 ± 3.10 / 53.52 ± 2.17@@37.25,71.83 ± 2.77 / 86.41 ± 1.38@@71.83,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.61@@2.61,?,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,50.77 ± 1.17 / 66.33 ± 0.81@@50.77,52.94 ± 1.55 / 31.56 ± 2.01@@52.94,21.88 ± 2.24 / 59.60 ± 1.24@@21.88,52.90 ± 0.93 / 30.06 ± 0.72@@52.90,37.45 ± 0.17 / 40.70 ± 0.19@@37.45,34.02 ± 2.22 / 48.98 ± 1.63@@34.02,40.98 ± 2.18 / 70.23 ± 1.14@@40.98,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,2.65@@2.65,?,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,53.92 ± 2.11 / 65.34 ± 1.51@@53.92,66.62 ± 2.74 / 53.19 ± 1.76@@66.62,17.97 ± 2.99 / 56.90 ± 1.49@@17.97,50.56 ± 0.77 / 29.32 ± 0.76@@50.56,31.38 ± 0.28 / 33.53 ± 0.32@@31.38,27.49 ± 2.04 / 46.25 ± 1.50@@27.49,43.19 ± 3.15 / 71.95 ± 1.50@@43.19,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.65@@2.65,N/A,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,48.93 ± 2.19 / 63.14 ± 2.11@@48.93,62.79 ± 2.00 / 54.93 ± 3.07@@62.79,0.00 ± 0.00 / 32.87 ± 0.49@@0.00,65.72 ± 0.85 / 36.95 ± 0.40@@65.72,36.05 ± 0.37 / 38.14 ± 0.49@@36.05,34.83 ± 1.80 / 50.31 ± 1.37@@34.83,41.60 ± 1.76 / 70.16 ± 0.83@@41.60,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.66@@2.66,11.37,?,?,200000.0,✓,✗,✗,✓,54.15 ± 2.67 / 64.84 ± 2.21@@54.15,54.59 ± 1.52 / 28.26 ± 1.11@@54.59,25.05 ± 4.99 / 58.80 ± 2.68@@25.05,48.96 ± 1.06 / 20.88 ± 1.09@@48.96,35.97 ± 0.27 / 40.11 ± 0.33@@35.97,29.80 ± 3.68 / 46.41 ± 2.52@@29.80,32.74 ± 6.81 / 67.81 ± 3.41@@32.74,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.68@@2.68,0.32,12187325040.0,262144.0,?,✓,✗,(✓),✓,51.70 ± 1.20 / 66.22 ± 1.12@@51.70,53.66 ± 2.26 / 35.59 ± 3.09@@53.66,29.36 ± 1.60 / 63.21 ± 1.31@@29.36,49.71 ± 1.27 / 23.10 ± 1.07@@49.71,38.14 ± 0.17 / 40.53 ± 0.18@@38.14,21.79 ± 1.28 / 40.77 ± 1.01@@21.79,36.49 ± 1.68 / 68.58 ± 0.76@@36.49,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,16.15.0.dev0@@161500,15.5.0@@150500,15.5.0@@150500
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (val)</a>,📝,2.70@@2.70,11.33,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,54.51 ± 3.05 / 68.57 ± 2.44@@54.51,67.93 ± 2.79 / 50.76 ± 3.85@@67.93,0.00 ± 0.00 / 32.87 ± 0.96@@0.00,56.09 ± 2.00 / 31.60 ± 1.66@@56.09,28.28 ± 0.71 / 28.64 ± 0.78@@28.28,31.69 ± 4.47 / 48.44 ± 3.18@@31.69,58.22 ± 4.06 / 79.77 ± 1.83@@58.22,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.72@@2.72,5.12,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,61.41 ± 3.14 / 72.93 ± 2.29@@61.41,43.60 ± 2.40 / 32.26 ± 2.86@@43.60,0.00 ± 0.00 / 32.87 ± 0.96@@0.00,56.41 ± 1.57 / 25.96 ± 2.61@@56.41,38.64 ± 0.14 / 42.02 ± 0.14@@38.64,34.39 ± 4.66 / 50.86 ± 3.23@@34.39,38.90 ± 4.09 / 67.81 ± 2.22@@38.90,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.76@@2.76,?,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,41.30 ± 2.16 / 50.77 ± 2.49@@41.30,57.12 ± 1.47 / 30.52 ± 1.40@@57.12,25.20 ± 2.69 / 57.41 ± 1.81@@25.20,54.10 ± 1.16 / 32.15 ± 0.57@@54.10,36.83 ± 0.20 / 40.22 ± 0.21@@36.83,24.63 ± 2.80 / 43.98 ± 2.17@@24.63,27.38 ± 3.56 / 66.33 ± 1.90@@27.38,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,2.76@@2.76,N/A,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,28.54 ± 1.78 / 39.52 ± 1.22@@28.54,73.34 ± 1.49 / 63.06 ± 4.46@@73.34,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,63.64 ± 1.93 / 37.34 ± 1.70@@63.64,34.77 ± 0.66 / 35.86 ± 0.75@@34.77,29.52 ± 1.55 / 46.74 ± 1.12@@29.52,47.56 ± 3.21 / 74.17 ± 1.75@@47.56,16.5.0.dev0@@160500,15.7.2.dev0@@150702,16.5.0.dev0@@160500,15.7.2.dev0@@150702,16.17.0.dev0@@161700,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,2.77@@2.77,N/A,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,32.92 ± 0.84 / 40.86 ± 0.72@@32.92,53.70 ± 3.13 / 45.07 ± 3.22@@53.70,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,62.01 ± 1.96 / 35.57 ± 1.71@@62.01,35.42 ± 1.09 / 36.27 ± 1.34@@35.42,35.78 ± 1.84 / 51.34 ± 1.35@@35.78,54.04 ± 2.94 / 76.73 ± 1.82@@54.04,16.5.0.dev0@@160500,15.6.1@@150601,16.5.0.dev0@@160500,15.6.1@@150601,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.81@@2.81,0.04,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,55.28 ± 1.47 / 69.48 ± 0.99@@55.28,62.19 ± 0.81 / 47.74 ± 1.50@@62.19,5.96 ± 0.99 / 34.89 ± 0.81@@5.96,53.07 ± 1.07 / 18.63 ± 1.33@@53.07,36.57 ± 0.17 / 39.31 ± 0.23@@36.57,27.40 ± 2.20 / 45.55 ± 1.58@@27.40,15.31 ± 2.53 / 58.28 ± 1.19@@15.31,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.81@@2.81,18.86,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,45.90 ± 1.57 / 62.65 ± 1.17@@45.90,56.51 ± 2.32 / 30.00 ± 2.72@@56.51,21.87 ± 1.97 / 60.25 ± 1.16@@21.87,51.89 ± 1.50 / 25.80 ± 1.35@@51.89,37.22 ± 0.19 / 40.08 ± 0.21@@37.22,23.12 ± 1.14 / 42.15 ± 0.80@@23.12,23.40 ± 2.45 / 61.62 ± 1.27@@23.40,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.81@@2.81,4.75,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,42.84 ± 2.12 / 61.02 ± 1.42@@42.84,58.38 ± 2.52 / 42.59 ± 3.39@@58.38,17.44 ± 1.67 / 55.48 ± 1.71@@17.44,54.85 ± 1.83 / 28.87 ± 1.11@@54.85,36.55 ± 0.33 / 38.27 ± 0.47@@36.55,28.80 ± 1.41 / 46.48 ± 1.02@@28.80,18.18 ± 2.27 / 58.98 ± 1.29@@18.18,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.15.0.dev0@@161500,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.83@@2.83,0.41,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,52.82 ± 1.31 / 68.00 ± 0.99@@52.82,37.00 ± 1.60 / 18.23 ± 1.23@@37.00,26.14 ± 1.90 / 59.35 ± 2.35@@26.14,52.34 ± 1.15 / 20.60 ± 1.50@@52.34,40.02 ± 0.09 / 43.19 ± 0.12@@40.02,21.92 ± 1.07 / 39.62 ± 0.47@@21.92,19.19 ± 2.08 / 61.27 ± 0.92@@19.19,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,17.0.0.dev0@@170000,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.86@@2.86,6.05,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,33.06 ± 2.86 / 53.25 ± 2.11@@33.06,51.31 ± 2.32 / 34.08 ± 2.77@@51.31,23.44 ± 1.38 / 58.99 ± 1.21@@23.44,59.53 ± 1.57 / 29.50 ± 2.06@@59.53,38.85 ± 0.24 / 41.69 ± 0.24@@38.85,20.46 ± 1.06 / 40.07 ± 0.60@@20.46,20.48 ± 2.25 / 61.73 ± 0.88@@20.48,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.88@@2.88,N/A,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,48.32 ± 2.43 / 63.93 ± 1.57@@48.32,62.38 ± 1.70 / 53.94 ± 2.77@@62.38,0.00 ± 0.00 / 32.87 ± 0.49@@0.00,63.52 ± 0.95 / 36.48 ± 0.95@@63.52,34.89 ± 0.52 / 36.98 ± 0.63@@34.89,21.82 ± 2.74 / 41.80 ± 1.70@@21.82,27.52 ± 3.05 / 66.56 ± 1.35@@27.52,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.88@@2.88,4.45,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,49.65 ± 1.28 / 65.57 ± 0.94@@49.65,58.10 ± 2.24 / 40.23 ± 4.79@@58.10,15.25 ± 1.79 / 45.66 ± 2.38@@15.25,51.08 ± 1.31 / 19.01 ± 1.29@@51.08,38.47 ± 0.25 / 41.50 ± 0.26@@38.47,16.15 ± 0.97 / 36.18 ± 0.73@@16.15,21.01 ± 2.55 / 60.84 ± 1.22@@21.01,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.97@@2.97,N/A,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,28.69 ± 2.02 / 39.47 ± 1.26@@28.69,54.58 ± 1.63 / 48.81 ± 3.86@@54.58,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,61.39 ± 2.22 / 35.81 ± 1.52@@61.39,35.11 ± 1.05 / 36.06 ± 1.22@@35.11,27.07 ± 1.11 / 44.37 ± 1.09@@27.07,41.28 ± 1.92 / 70.79 ± 1.17@@41.28,16.5.0.dev0@@160500,15.5.0@@150500,16.5.0.dev0@@160500,15.5.0@@150500,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,3.04@@3.04,N/A,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,46.84 ± 1.89 / 62.67 ± 1.49@@46.84,52.58 ± 1.79 / 45.66 ± 2.15@@52.58,0.00 ± 0.00 / 32.87 ± 0.49@@0.00,62.37 ± 1.10 / 35.55 ± 0.90@@62.37,31.57 ± 0.87 / 33.68 ± 0.88@@31.57,21.03 ± 2.29 / 38.67 ± 1.71@@21.03,23.46 ± 3.41 / 61.33 ± 1.95@@23.46,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,3.06@@3.06,?,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,23.08 ± 10.75 / 46.88 ± 7.99@@23.08,64.52 ± 1.89 / 50.92 ± 2.25@@64.52,20.55 ± 1.11 / 55.27 ± 0.74@@20.55,44.48 ± 0.82 / 21.21 ± 0.67@@44.48,33.71 ± 0.24 / 38.63 ± 0.18@@33.71,21.14 ± 1.39 / 40.67 ± 1.03@@21.14,25.55 ± 2.14 / 62.92 ± 1.03@@25.55,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,3.06@@3.06,?,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,33.47 ± 1.16 / 52.37 ± 1.64@@33.47,72.03 ± 2.20 / 58.53 ± 5.93@@72.03,6.79 ± 1.99 / 38.41 ± 0.98@@6.79,48.77 ± 1.40 / 25.01 ± 1.38@@48.77,35.21 ± 0.59 / 37.20 ± 0.63@@35.21,17.34 ± 1.72 / 38.12 ± 1.29@@17.34,18.29 ± 2.44 / 58.95 ± 1.32@@18.29,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.16.1.dev0@@161601,16.14.0.dev0@@161400,16.14.0.dev0@@161400
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,3.07@@3.07,17.71,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,36.47 ± 1.84 / 56.47 ± 1.41@@36.47,49.17 ± 1.03 / 30.67 ± 2.70@@49.17,12.07 ± 1.86 / 45.57 ± 2.32@@12.07,55.67 ± 1.74 / 26.48 ± 1.83@@55.67,37.96 ± 0.28 / 40.79 ± 0.34@@37.96,17.81 ± 1.47 / 38.13 ± 0.99@@17.81,6.83 ± 1.42 / 53.13 ± 1.06@@6.83,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,3.08@@3.08,?,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,27.65 ± 2.14 / 50.41 ± 1.34@@27.65,61.91 ± 2.06 / 54.38 ± 1.64@@61.91,12.59 ± 1.71 / 39.91 ± 0.99@@12.59,49.24 ± 0.98 / 27.22 ± 0.84@@49.24,29.09 ± 0.25 / 30.19 ± 0.28@@29.09,28.57 ± 1.64 / 46.80 ± 1.18@@28.57,24.98 ± 4.21 / 61.48 ± 2.01@@24.98,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,3.09@@3.09,3.46,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,34.59 ± 2.34 / 50.89 ± 2.08@@34.59,62.15 ± 1.38 / 48.78 ± 2.77@@62.15,6.44 ± 2.34 / 48.43 ± 1.02@@6.44,53.39 ± 0.94 / 26.14 ± 0.76@@53.39,34.16 ± 0.34 / 36.67 ± 0.36@@34.16,19.07 ± 3.03 / 38.28 ± 2.38@@19.07,13.18 ± 3.79 / 58.28 ± 1.63@@13.18,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (val)</a>,📝,3.12@@3.12,8.05,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,52.52 ± 3.09 / 64.71 ± 2.63@@52.52,65.12 ± 4.33 / 39.29 ± 3.97@@65.12,0.00 ± 0.00 / 32.87 ± 0.96@@0.00,53.04 ± 2.07 / 28.59 ± 2.11@@53.04,24.43 ± 0.69 / 24.49 ± 0.74@@24.43,21.11 ± 3.85 / 41.09 ± 2.98@@21.11,28.18 ± 3.92 / 64.30 ± 2.55@@28.18,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,3.13@@3.13,N/A,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,8.45 ± 2.19 / 17.34 ± 1.13@@8.45,73.01 ± 0.78 / 62.39 ± 2.23@@73.01,0.00 ± 0.00 / 32.87 ± 0.49@@0.00,68.14 ± 0.74 / 38.19 ± 0.76@@68.14,29.67 ± 0.82 / 30.27 ± 0.91@@29.67,25.27 ± 2.64 / 38.91 ± 2.28@@25.27,24.56 ± 1.79 / 51.25 ± 1.77@@24.56,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,3.15@@3.15,0.08,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,36.02 ± 1.47 / 54.12 ± 1.05@@36.02,45.46 ± 3.15 / 28.86 ± 2.45@@45.46,11.20 ± 2.72 / 55.22 ± 1.31@@11.20,54.47 ± 1.19 / 22.09 ± 2.34@@54.47,35.88 ± 0.30 / 38.55 ± 0.31@@35.88,20.58 ± 2.28 / 41.64 ± 1.58@@20.58,6.70 ± 3.77 / 57.81 ± 2.11@@6.70,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,3.15@@3.15,?,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,45.75 ± 1.57 / 62.21 ± 1.16@@45.75,64.12 ± 0.75 / 46.10 ± 1.84@@64.12,20.69 ± 3.12 / 58.87 ± 1.87@@20.69,62.18 ± 1.12 / 35.73 ± 1.03@@62.18,5.30 ± 2.25 / 5.70 ± 2.41@@5.30,29.46 ± 2.37 / 45.94 ± 1.79@@29.46,31.05 ± 3.00 / 65.55 ± 1.44@@31.05,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,3.16@@3.16,0.01,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,43.15 ± 2.16 / 61.23 ± 1.50@@43.15,52.67 ± 1.65 / 38.15 ± 2.38@@52.67,1.52 ± 1.04 / 33.13 ± 0.56@@1.52,52.34 ± 0.76 / 19.62 ± 1.28@@52.34,37.23 ± 0.16 / 40.21 ± 0.19@@37.23,16.88 ± 3.56 / 37.34 ± 2.60@@16.88,6.93 ± 2.37 / 52.58 ± 1.23@@6.93,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
