<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.48@@2.48,N/A,70599864480.0,131072.0,65536.0,✓,✗,91.90 ± 0.91 / 95.89 ± 0.48@@91.90,44.44 ± 2.24 / 25.78 ± 2.24@@44.44,0.29 ± 0.57 / 33.40 ± 0.27@@0.29,71.84 ± 2.27 / 56.17 ± 2.40@@71.84,65.13 ± 1.02 / 14.00 ± 1.10@@65.13,23.65 ± 1.33 / 37.36 ± 1.54@@23.65,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.49@@2.49,N/A,4300079472.0,262144.0,8192.0,✓,✗,92.64 ± 0.56 / 96.30 ± 0.28@@92.64,38.56 ± 1.32 / 29.06 ± 2.05@@38.56,12.15 ± 2.06 / 50.62 ± 3.82@@12.15,71.08 ± 1.51 / 55.79 ± 2.28@@71.08,63.68 ± 0.66 / 11.78 ± 0.48@@63.68,15.28 ± 1.03 / 35.80 ± 0.84@@15.28,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07#minimal (zero-shot, val)</a>",🤔,2.49@@2.49,?,?,100256.0,272000.0,✓,✗,88.22 ± 1.51 / 93.88 ± 0.79@@88.22,40.86 ± 1.96 / 15.73 ± 0.75@@40.86,11.46 ± 3.01 / 52.02 ± 1.78@@11.46,54.03 ± 0.58 / 35.97 ± 0.67@@54.03,62.42 ± 0.14 / 6.61 ± 0.18@@62.42,44.76 ± 2.09 / 57.97 ± 1.70@@44.76,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B</a>,🧠,2.50@@2.50,N/A,13716198400.0,100352.0,4096.0,✓,✗,91.21 ± 0.56 / 95.58 ± 0.29@@91.21,44.68 ± 3.56 / 23.05 ± 2.52@@44.68,9.18 ± 2.53 / 47.32 ± 4.79@@9.18,72.75 ± 0.81 / 54.95 ± 1.33@@72.75,63.76 ± 0.25 / 11.59 ± 0.43@@63.76,6.27 ± 0.81 / 29.86 ± 0.64@@6.27,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B</a>,📝,2.51@@2.51,?,8030326784.0,128264.0,131072.0,✓,✗,91.28 ± 0.62 / 95.60 ± 0.32@@91.28,48.47 ± 1.40 / 32.55 ± 0.99@@48.47,9.22 ± 1.36 / 38.07 ± 0.99@@9.22,59.30 ± 2.53 / 42.02 ± 2.31@@59.30,63.65 ± 0.19 / 9.44 ± 0.36@@63.65,18.90 ± 1.00 / 38.78 ± 0.76@@18.90,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B</a>,📝,2.52@@2.52,?,8030326784.0,128264.0,131072.0,✓,✗,90.66 ± 0.63 / 95.28 ± 0.33@@90.66,50.21 ± 1.29 / 32.84 ± 1.16@@50.21,7.96 ± 1.66 / 38.23 ± 1.25@@7.96,60.84 ± 1.61 / 40.56 ± 2.02@@60.84,63.65 ± 0.16 / 9.44 ± 0.32@@63.65,17.45 ± 0.94 / 37.74 ± 0.75@@17.45,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1</a>,📝,2.53@@2.53,?,46702792704.0,32000.0,32768.0,✓,✗,89.51 ± 0.75 / 94.62 ± 0.40@@89.51,48.93 ± 1.66 / 22.13 ± 1.28@@48.93,10.34 ± 1.37 / 53.41 ± 1.17@@10.34,65.02 ± 1.42 / 42.15 ± 2.95@@65.02,61.97 ± 0.35 / 8.10 ± 0.37@@61.97,18.23 ± 1.34 / 37.41 ± 1.04@@18.23,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base</a>,🧠,2.53@@2.53,N/A,33715603456.0,49152.0,8192.0,✓,✗,86.36 ± 0.76 / 93.12 ± 0.39@@86.36,57.37 ± 2.74 / 47.53 ± 3.27@@57.37,6.32 ± 2.68 / 46.08 ± 5.06@@6.32,71.72 ± 0.81 / 53.25 ± 1.38@@71.72,61.58 ± 0.32 / 8.50 ± 0.20@@61.58,5.88 ± 0.90 / 29.46 ± 0.68@@5.88,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,2.55@@2.55,N/A,8829407232.0,64000.0,4096.0,✓,✗,88.37 ± 0.69 / 94.02 ± 0.37@@88.37,47.81 ± 2.92 / 27.33 ± 1.40@@47.81,8.79 ± 3.70 / 39.41 ± 3.40@@8.79,72.47 ± 1.03 / 50.88 ± 1.91@@72.47,61.81 ± 1.27 / 9.94 ± 0.59@@61.81,8.67 ± 1.16 / 31.39 ± 0.80@@8.67,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.55@@2.55,0.02,22637328384.0,128000.0,32768.0,✓,✗,92.40 ± 0.64 / 96.17 ± 0.33@@92.40,53.18 ± 1.21 / 25.91 ± 0.71@@53.18,6.85 ± 2.17 / 34.92 ± 1.06@@6.85,32.84 ± 4.40 / 16.34 ± 3.44@@32.84,63.54 ± 0.17 / 9.61 ± 0.52@@63.54,45.30 ± 1.21 / 58.65 ± 0.96@@45.30,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.56@@2.56,N/A,7298011136.0,100278.0,65536.0,✓,✗,89.01 ± 0.61 / 94.45 ± 0.29@@89.01,46.80 ± 2.22 / 19.13 ± 1.52@@46.80,8.96 ± 1.37 / 50.56 ± 1.90@@8.96,71.58 ± 0.97 / 51.40 ± 1.45@@71.58,62.06 ± 0.58 / 9.34 ± 0.40@@62.06,7.38 ± 1.08 / 29.93 ± 0.83@@7.38,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.57@@2.57,1.94,3191396096.0,100352.0,131072.0,✓,✗,89.20 ± 0.85 / 94.50 ± 0.45@@89.20,45.76 ± 1.26 / 35.43 ± 2.03@@45.76,6.88 ± 1.91 / 41.76 ± 2.65@@6.88,64.47 ± 1.68 / 48.42 ± 1.66@@64.47,62.81 ± 0.18 / 8.23 ± 0.27@@62.81,15.22 ± 1.30 / 35.56 ± 1.04@@15.22,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/tartuNLP/Llama-3.1-EstLLM-8B-0525'>tartuNLP/Llama-3.1-EstLLM-8B-0525</a>,🧠,2.59@@2.59,N/A,8030261248.0,128256.0,131072.0,✓,✗,89.91 ± 0.66 / 94.93 ± 0.33@@89.91,50.63 ± 2.46 / 30.79 ± 2.34@@50.63,2.85 ± 1.80 / 50.80 ± 1.21@@2.85,72.98 ± 1.42 / 52.34 ± 1.94@@72.98,61.53 ± 0.88 / 8.98 ± 0.71@@61.53,5.01 ± 0.77 / 28.61 ± 0.59@@5.01,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LumiOpen/Poro-34B-chat'>LumiOpen/Poro-34B-chat</a>,📝,2.60@@2.60,?,34216949760.0,128000.0,?,✓,✗,92.55 ± 0.52 / 96.27 ± 0.26@@92.55,41.88 ± 3.34 / 17.10 ± 1.33@@41.88,13.00 ± 1.98 / 50.19 ± 3.53@@13.00,56.76 ± 1.55 / 33.94 ± 2.08@@56.76,64.10 ± 0.35 / 11.27 ± 0.70@@64.10,10.73 ± 0.95 / 32.17 ± 0.86@@10.73,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct</a>,📝,2.60@@2.60,?,33715603456.0,49152.0,8192.0,✓,✗,85.07 ± 1.37 / 92.52 ± 0.70@@85.07,49.42 ± 3.47 / 36.73 ± 4.38@@49.42,10.74 ± 1.93 / 52.62 ± 2.29@@10.74,66.84 ± 1.05 / 48.68 ± 0.99@@66.84,61.21 ± 0.21 / 7.73 ± 0.14@@61.21,4.33 ± 0.54 / 27.67 ± 0.40@@4.33,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E</a>,📝,2.60@@2.60,?,108641793536.0,200000.0,?,✓,✗,92.07 ± 0.77 / 95.98 ± 0.40@@92.07,62.15 ± 1.44 / 50.94 ± 2.61@@62.15,3.94 ± 2.96 / 37.17 ± 3.38@@3.94,31.75 ± 1.31 / 0.36 ± 0.10@@31.75,59.04 ± 0.98 / 6.86 ± 0.52@@59.04,50.04 ± 1.99 / 61.09 ± 1.52@@50.04,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct</a>,📝,2.61@@2.61,?,46997647360.0,67993.0,32768.0,✓,✗,90.14 ± 0.71 / 95.00 ± 0.38@@90.14,52.85 ± 1.09 / 25.93 ± 2.33@@52.85,-0.13 ± 0.25 / 33.39 ± 0.33@@-0.13,64.72 ± 2.98 / 41.09 ± 4.65@@64.72,62.80 ± 0.13 / 10.03 ± 0.17@@62.80,14.26 ± 0.92 / 34.47 ± 0.81@@14.26,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.61@@2.61,0.07,9152319488.0,128000.0,4096.0,✗,✗,89.95 ± 1.13 / 94.86 ± 0.61@@89.95,32.48 ± 2.84 / 19.36 ± 0.91@@32.48,6.25 ± 1.33 / 35.99 ± 1.09@@6.25,69.85 ± 1.83 / 53.70 ± 2.52@@69.85,62.83 ± 0.04 / 8.08 ± 0.09@@62.83,22.04 ± 1.34 / 40.18 ± 1.20@@22.04,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B</a>,🧠,2.63@@2.63,N/A,46997647360.0,67993.0,32768.0,✓,✗,90.61 ± 0.57 / 95.28 ± 0.29@@90.61,46.87 ± 2.01 / 22.71 ± 1.61@@46.87,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,71.14 ± 1.73 / 54.28 ± 2.33@@71.14,61.91 ± 0.95 / 9.49 ± 0.98@@61.91,11.52 ± 1.50 / 32.47 ± 1.18@@11.52,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01</a>,📝,2.64@@2.64,?,34980831232.0,256000.0,8192.0,✗,✗,87.71 ± 0.85 / 93.65 ± 0.46@@87.71,46.06 ± 1.22 / 28.45 ± 1.13@@46.06,4.55 ± 1.65 / 48.76 ± 2.09@@4.55,59.23 ± 1.72 / 39.32 ± 1.98@@59.23,63.09 ± 0.13 / 9.17 ± 0.26@@63.09,14.40 ± 1.24 / 34.91 ± 0.96@@14.40,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.64@@2.64,13.76,8030261248.0,128256.0,131072.0,✓,✗,91.69 ± 0.69 / 95.84 ± 0.35@@91.69,51.27 ± 1.85 / 27.17 ± 2.10@@51.27,13.99 ± 2.29 / 52.27 ± 3.39@@13.99,32.28 ± 4.95 / 7.90 ± 4.64@@32.28,63.35 ± 0.13 / 9.05 ± 0.29@@63.35,18.50 ± 1.67 / 37.62 ± 1.14@@18.50,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/OLMo-2-1124-13B-Instruct'>allenai/OLMo-2-1124-13B-Instruct</a>,📝,2.64@@2.64,?,13716198400.0,100352.0,4096.0,✓,✗,89.82 ± 0.73 / 94.83 ± 0.39@@89.82,48.28 ± 1.20 / 23.77 ± 1.37@@48.28,10.11 ± 1.29 / 48.41 ± 1.40@@10.11,57.76 ± 1.64 / 43.07 ± 2.41@@57.76,62.67 ± 0.05 / 7.66 ± 0.09@@62.67,6.99 ± 1.50 / 29.83 ± 1.11@@6.99,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1</a>,🧠,2.64@@2.64,N/A,7241732096.0,32000.0,32768.0,✓,✗,89.98 ± 0.78 / 94.98 ± 0.40@@89.98,45.86 ± 2.01 / 27.83 ± 2.71@@45.86,6.45 ± 3.06 / 42.97 ± 6.03@@6.45,69.21 ± 1.50 / 53.36 ± 1.94@@69.21,61.10 ± 1.14 / 9.16 ± 0.48@@61.10,4.87 ± 1.39 / 27.99 ± 1.15@@4.87,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base</a>,🧠,2.65@@2.65,N/A,20066993152.0,49152.0,8192.0,✓,✗,84.31 ± 0.79 / 91.98 ± 0.44@@84.31,51.90 ± 2.29 / 36.77 ± 3.94@@51.90,4.84 ± 1.53 / 50.68 ± 1.47@@4.84,68.61 ± 0.94 / 48.44 ± 1.70@@68.61,60.86 ± 0.68 / 8.23 ± 0.24@@60.86,5.31 ± 0.97 / 29.20 ± 0.68@@5.31,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.66@@2.66,3.08,3402836480.0,100352.0,131072.0,✓,✗,89.94 ± 0.44 / 94.94 ± 0.24@@89.94,50.29 ± 1.49 / 24.04 ± 2.14@@50.29,1.49 ± 0.72 / 33.77 ± 0.48@@1.49,55.64 ± 7.52 / 38.29 ± 8.14@@55.64,62.80 ± 0.10 / 8.91 ± 0.22@@62.80,15.03 ± 1.19 / 35.47 ± 0.89@@15.03,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,2.67@@2.67,?,8888227328.0,131072.0,131072.0,✓,✗,83.97 ± 1.08 / 91.83 ± 0.56@@83.97,43.63 ± 1.23 / 24.61 ± 0.98@@43.63,10.55 ± 1.98 / 55.05 ± 1.01@@10.55,59.17 ± 1.04 / 46.43 ± 0.95@@59.17,60.66 ± 0.21 / 6.76 ± 0.12@@60.66,15.44 ± 1.39 / 36.61 ± 1.02@@15.44,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-32B</a>,🤔,2.68@@2.68,?,32763876352.0,152064.0,131072.0,✓,✗,87.06 ± 1.19 / 93.38 ± 0.64@@87.06,49.43 ± 2.11 / 25.82 ± 1.23@@49.43,15.95 ± 1.60 / 57.53 ± 0.98@@15.95,43.38 ± 1.63 / 26.60 ± 2.43@@43.38,60.43 ± 0.81 / 5.20 ± 0.80@@60.43,19.24 ± 1.86 / 36.73 ± 1.58@@19.24,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,2.68@@2.68,5.72,3212749824.0,128256.0,131072.0,✓,✗,86.88 ± 0.85 / 93.42 ± 0.42@@86.88,42.33 ± 2.09 / 26.28 ± 1.47@@42.33,7.65 ± 1.02 / 48.65 ± 2.02@@7.65,60.20 ± 0.78 / 40.80 ± 1.02@@60.20,63.21 ± 0.05 / 9.54 ± 0.17@@63.21,8.27 ± 0.93 / 31.33 ± 0.70@@8.27,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3</a>,🧠,2.68@@2.68,N/A,7248023552.0,32768.0,32768.0,✓,✗,89.52 ± 0.90 / 94.73 ± 0.47@@89.52,45.48 ± 2.20 / 26.01 ± 2.32@@45.48,6.16 ± 2.01 / 43.81 ± 3.79@@6.16,69.63 ± 2.18 / 52.92 ± 2.54@@69.63,60.43 ± 1.50 / 8.69 ± 0.47@@60.43,5.51 ± 1.29 / 27.99 ± 1.02@@5.51,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf</a>,📝,2.69@@2.69,?,68976653312.0,32000.0,4096.0,✓,✗,89.39 ± 1.16 / 94.61 ± 0.63@@89.39,42.32 ± 1.43 / 20.11 ± 0.52@@42.32,10.44 ± 1.77 / 48.44 ± 1.56@@10.44,59.63 ± 0.89 / 36.43 ± 1.67@@59.63,61.36 ± 0.17 / 6.71 ± 0.19@@61.36,3.96 ± 2.05 / 26.54 ± 1.47@@3.96,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B</a>,🧠,2.70@@2.70,N/A,3212749824.0,128256.0,131072.0,✓,✗,90.20 ± 0.99 / 95.05 ± 0.52@@90.20,43.18 ± 2.42 / 22.46 ± 2.05@@43.18,5.85 ± 2.78 / 44.85 ± 5.31@@5.85,70.50 ± 1.66 / 52.58 ± 2.22@@70.50,60.05 ± 1.49 / 7.73 ± 0.53@@60.05,5.60 ± 1.48 / 28.13 ± 1.39@@5.60,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b</a>,📝,2.71@@2.71,?,8028033024.0,256000.0,8192.0,✗,✗,85.04 ± 1.33 / 92.33 ± 0.75@@85.04,36.81 ± 2.09 / 21.56 ± 1.50@@36.81,5.47 ± 1.53 / 51.38 ± 1.36@@5.47,71.14 ± 0.62 / 53.77 ± 1.09@@71.14,61.73 ± 0.21 / 8.35 ± 0.37@@61.73,8.25 ± 0.87 / 31.25 ± 0.68@@8.25,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.72@@2.72,5.05,4300079472.0,262144.0,8192.0,✓,✗,86.77 ± 1.19 / 93.10 ± 0.66@@86.77,46.67 ± 1.30 / 32.84 ± 1.75@@46.67,14.31 ± 1.71 / 56.12 ± 0.86@@14.31,29.23 ± 5.80 / 7.95 ± 5.45@@29.23,63.56 ± 0.08 / 9.31 ± 0.15@@63.56,25.49 ± 1.35 / 43.87 ± 0.93@@25.49,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B</a>,🧠,2.72@@2.72,N/A,33119034368.0,131072.0,4096.0,✓,✗,93.15 ± 0.58 / 96.56 ± 0.29@@93.15,34.50 ± 3.00 / 21.00 ± 1.84@@34.50,19.49 ± 2.75 / 57.70 ± 3.26@@19.49,66.17 ± 1.18 / 51.17 ± 1.63@@66.17,57.76 ± 1.80 / 8.02 ± 0.92@@57.76,0.83 ± 1.50 / 24.98 ± 1.27@@0.83,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,📝,2.74@@2.74,?,2031739904.0,151936.0,40960.0,✓,✗,84.27 ± 0.74 / 92.08 ± 0.36@@84.27,32.90 ± 1.25 / 20.18 ± 0.81@@32.90,9.30 ± 2.97 / 47.35 ± 5.24@@9.30,64.78 ± 1.07 / 44.67 ± 2.85@@64.78,62.53 ± 0.10 / 7.75 ± 0.17@@62.53,9.91 ± 0.52 / 32.49 ± 0.61@@9.91,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.74@@2.74,32.67,2031739904.0,151936.0,40960.0,✓,✗,84.40 ± 1.00 / 92.16 ± 0.50@@84.40,33.13 ± 1.35 / 19.57 ± 0.68@@33.13,9.40 ± 2.12 / 46.59 ± 5.38@@9.40,63.24 ± 1.46 / 44.01 ± 3.06@@63.24,62.36 ± 0.09 / 7.56 ± 0.15@@62.36,10.73 ± 1.21 / 32.70 ± 1.16@@10.73,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.75@@2.75,21.95,11168796672.0,32128.0,32768.0,✓,✗,89.92 ± 0.83 / 94.93 ± 0.43@@89.92,53.68 ± 1.95 / 23.84 ± 1.86@@53.68,5.72 ± 2.10 / 37.99 ± 2.21@@5.72,30.41 ± 1.35 / 0.15 ± 0.07@@30.41,62.54 ± 0.15 / 8.11 ± 0.16@@62.54,20.88 ± 0.90 / 40.04 ± 0.72@@20.88,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,2.77@@2.77,N/A,7241732096.0,32000.0,32768.0,✓,✗,86.00 ± 0.63 / 92.89 ± 0.33@@86.00,42.65 ± 2.35 / 31.31 ± 2.81@@42.65,4.41 ± 1.56 / 47.70 ± 2.81@@4.41,68.40 ± 1.43 / 51.05 ± 2.29@@68.40,60.39 ± 1.01 / 8.52 ± 0.46@@60.39,3.25 ± 1.29 / 27.10 ± 0.55@@3.25,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
