<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=14 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=16 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=17 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=18 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=20 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.72@@1.72,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,59.59 ± 1.37 / 71.31 ± 1.43@@59.59,78.03 ± 1.09 / 72.48 ± 1.85@@78.03,74.76 ± 2.39 / 69.65 ± 2.44@@74.76,60.43 ± 1.28 / 79.99 ± 0.68@@60.43,45.53 ± 2.72 / 71.48 ± 2.06@@45.53,76.20 ± 3.43 / 50.33 ± 5.52@@76.20,31.99 ± 0.18 / 34.76 ± 0.32@@31.99,54.02 ± 1.20 / 65.86 ± 0.89@@54.02,28.69 ± 1.10 / 46.33 ± 0.88@@28.69,78.69 ± 1.00 / 82.93 ± 0.81@@78.69,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.15.0.dev0@@161500,15.9.1.dev0@@150901,15.10.1.dev0@@151001,15.9.1.dev0@@150901
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.72@@1.72,73.37,?,?,400000.0,✓,✗,✗,✓,54.25 ± 1.07 / 68.89 ± 0.83@@54.25,61.84 ± 1.45 / 40.83 ± 1.29@@61.84,69.96 ± 1.52 / 44.61 ± 1.24@@69.96,63.24 ± 1.27 / 81.54 ± 0.62@@63.24,62.47 ± 1.13 / 80.48 ± 0.66@@62.47,73.10 ± 0.45 / 43.76 ± 0.97@@73.10,30.05 ± 0.15 / 34.17 ± 0.19@@30.05,64.36 ± 1.54 / 73.59 ± 1.13@@64.36,42.72 ± 1.27 / 57.03 ± 0.96@@42.72,85.48 ± 1.16 / 88.28 ± 0.97@@85.48,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.76@@1.76,N/A,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,63.88 ± 1.55 / 74.56 ± 1.57@@63.88,80.07 ± 1.14 / 72.67 ± 2.45@@80.07,78.10 ± 1.21 / 71.69 ± 3.03@@78.10,58.81 ± 1.70 / 78.45 ± 1.12@@58.81,47.36 ± 2.14 / 72.44 ± 1.49@@47.36,78.48 ± 3.03 / 55.47 ± 5.15@@78.48,27.49 ± 0.57 / 28.23 ± 0.63@@27.49,55.92 ± 0.73 / 67.34 ± 0.53@@55.92,28.42 ± 1.02 / 46.32 ± 0.76@@28.42,77.40 ± 0.53 / 81.89 ± 0.44@@77.40,16.5.0.dev0@@160500,15.7.2.dev0@@150702,15.7.2.dev0@@150702,16.5.0.dev0@@160500,16.5.0.dev0@@160500,15.7.2.dev0@@150702,16.17.0.dev0@@161700,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.78@@1.78,?,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,58.19 ± 1.44 / 72.17 ± 1.11@@58.19,78.26 ± 1.22 / 70.18 ± 1.91@@78.26,75.05 ± 2.46 / 69.14 ± 2.08@@75.05,58.72 ± 1.74 / 79.08 ± 0.97@@58.72,43.88 ± 2.26 / 71.24 ± 1.65@@43.88,73.31 ± 3.78 / 46.86 ± 4.73@@73.31,31.07 ± 0.24 / 33.26 ± 0.51@@31.07,52.56 ± 1.43 / 64.75 ± 1.04@@52.56,27.42 ± 1.40 / 45.48 ± 1.07@@27.42,79.41 ± 1.02 / 83.49 ± 0.82@@79.41,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.15.0.dev0@@161500,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.79@@1.79,70.75,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,59.07 ± 1.11 / 71.96 ± 0.84@@59.07,80.98 ± 1.17 / 64.19 ± 2.03@@80.98,79.17 ± 1.02 / 64.66 ± 3.75@@79.17,58.19 ± 1.42 / 78.84 ± 0.76@@58.19,43.16 ± 1.94 / 70.85 ± 1.20@@43.16,74.95 ± 1.68 / 47.77 ± 2.48@@74.95,31.11 ± 0.19 / 34.06 ± 0.19@@31.11,45.70 ± 1.27 / 59.84 ± 0.90@@45.70,25.15 ± 0.92 / 43.82 ± 0.75@@25.15,77.94 ± 1.10 / 82.33 ± 0.89@@77.94,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.15.0.dev0@@161500,15.8.1.dev0@@150801,15.10.1.dev0@@151001,15.8.1.dev0@@150801
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.80@@1.80,?,?,100256.0,272000.0,✓,✗,✗,✓,54.70 ± 3.50 / 68.06 ± 2.46@@54.70,77.45 ± 1.17 / 65.67 ± 2.60@@77.45,70.45 ± 2.77 / 61.84 ± 3.39@@70.45,56.07 ± 2.80 / 75.50 ± 1.50@@56.07,40.25 ± 2.92 / 66.27 ± 1.89@@40.25,69.99 ± 0.70 / 42.12 ± 1.17@@69.99,26.28 ± 0.22 / 31.49 ± 0.25@@26.28,63.21 ± 3.16 / 72.93 ± 2.28@@63.21,53.07 ± 3.17 / 64.57 ± 2.39@@53.07,89.34 ± 2.76 / 91.41 ± 2.29@@89.34,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.15.0.dev0@@161500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (val)</a>,📝,1.81@@1.81,53.19,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,59.11 ± 1.60 / 70.43 ± 1.41@@59.11,68.34 ± 3.10 / 57.75 ± 4.42@@68.34,68.79 ± 2.11 / 55.90 ± 3.05@@68.79,62.74 ± 2.81 / 81.05 ± 1.51@@62.74,60.45 ± 3.32 / 79.74 ± 1.86@@60.45,69.87 ± 2.57 / 42.50 ± 3.91@@69.87,27.49 ± 0.27 / 27.89 ± 0.31@@27.49,52.44 ± 2.69 / 64.80 ± 2.02@@52.44,43.47 ± 2.26 / 57.07 ± 1.72@@43.47,80.64 ± 3.64 / 83.75 ± 3.27@@80.64,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.83@@1.83,10.16,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,57.50 ± 1.02 / 71.04 ± 0.71@@57.50,66.42 ± 0.85 / 51.23 ± 2.10@@66.42,66.55 ± 1.14 / 55.16 ± 2.68@@66.55,62.07 ± 1.99 / 80.41 ± 1.24@@62.07,47.56 ± 1.67 / 71.01 ± 1.16@@47.56,78.03 ± 1.92 / 53.14 ± 3.33@@78.03,30.86 ± 0.10 / 34.50 ± 0.11@@30.86,45.16 ± 1.01 / 59.20 ± 0.74@@45.16,30.60 ± 0.94 / 47.94 ± 0.75@@30.60,77.41 ± 0.86 / 81.87 ± 0.70@@77.41,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.83@@1.83,3.92,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,63.08 ± 0.90 / 75.35 ± 0.55@@63.08,66.67 ± 0.91 / 51.27 ± 1.19@@66.67,67.08 ± 1.32 / 53.15 ± 2.06@@67.08,63.35 ± 1.44 / 81.54 ± 0.75@@63.35,50.21 ± 1.73 / 74.70 ± 1.06@@50.21,66.84 ± 1.62 / 37.77 ± 1.59@@66.84,31.82 ± 0.17 / 35.08 ± 0.16@@31.82,43.48 ± 1.18 / 58.03 ± 0.85@@43.48,22.50 ± 0.85 / 41.62 ± 0.69@@22.50,78.28 ± 0.99 / 82.59 ± 0.80@@78.28,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,16.15.0.dev0@@161500,15.5.0@@150500,15.10.1.dev0@@151001,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.86@@1.86,64.74,?,?,400000.0,✓,✗,✗,✓,55.26 ± 1.44 / 67.76 ± 1.05@@55.26,61.11 ± 1.00 / 44.37 ± 1.08@@61.11,66.07 ± 1.30 / 48.88 ± 1.37@@66.07,62.89 ± 1.40 / 80.41 ± 0.75@@62.89,48.06 ± 1.13 / 72.37 ± 0.56@@48.06,70.58 ± 0.47 / 43.61 ± 0.84@@70.58,26.94 ± 0.12 / 32.09 ± 0.14@@26.94,60.31 ± 0.76 / 70.51 ± 0.60@@60.31,51.32 ± 1.44 / 63.36 ± 1.11@@51.32,80.61 ± 1.35 / 84.53 ± 1.08@@80.61,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.89@@1.89,?,?,?,400000.0,✓,✗,✗,✓,56.06 ± 1.45 / 68.35 ± 1.03@@56.06,63.81 ± 1.21 / 45.22 ± 1.06@@63.81,62.03 ± 1.56 / 46.10 ± 1.56@@62.03,57.84 ± 2.15 / 78.28 ± 1.05@@57.84,44.35 ± 1.02 / 70.48 ± 0.51@@44.35,69.22 ± 0.38 / 43.24 ± 0.71@@69.22,27.11 ± 0.12 / 32.26 ± 0.16@@27.11,60.37 ± 0.75 / 70.86 ± 0.57@@60.37,50.70 ± 1.30 / 62.70 ± 1.02@@50.70,82.26 ± 1.28 / 85.94 ± 1.04@@82.26,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.89@@1.89,N/A,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.79 ± 1.59 / 72.76 ± 1.53@@60.79,77.17 ± 0.84 / 68.28 ± 2.18@@77.17,74.22 ± 1.98 / 67.37 ± 2.15@@74.22,50.77 ± 1.74 / 72.57 ± 1.48@@50.77,35.43 ± 5.71 / 59.63 ± 5.54@@35.43,76.27 ± 4.33 / 51.97 ± 6.74@@76.27,27.35 ± 3.31 / 28.26 ± 3.61@@27.35,54.85 ± 1.14 / 66.56 ± 0.81@@54.85,30.42 ± 1.04 / 47.69 ± 0.82@@30.42,76.93 ± 1.73 / 81.53 ± 1.38@@76.93,16.5.0.dev0@@160500,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.5.0.dev0@@160500,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.92@@1.92,35.11,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,58.61 ± 1.52 / 71.28 ± 1.24@@58.61,75.67 ± 1.28 / 57.96 ± 2.46@@75.67,75.08 ± 1.04 / 60.71 ± 2.19@@75.08,52.83 ± 1.48 / 76.28 ± 0.75@@52.83,38.01 ± 1.49 / 68.10 ± 0.76@@38.01,71.79 ± 1.49 / 43.91 ± 1.89@@71.79,30.88 ± 0.16 / 33.61 ± 0.25@@30.88,42.60 ± 1.51 / 57.63 ± 1.07@@42.60,19.95 ± 0.98 / 39.92 ± 0.78@@19.95,74.25 ± 0.79 / 79.34 ± 0.64@@74.25,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.15.0.dev0@@161500,15.8.1.dev0@@150801,15.10.1.dev0@@151001,15.8.1.dev0@@150801
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.92@@1.92,?,?,256128.0,1048576.0,✓,✗,✗,✓,50.03 ± 2.07 / 60.94 ± 2.06@@50.03,53.01 ± 3.14 / 28.99 ± 2.24@@53.01,57.58 ± 3.55 / 30.08 ± 2.53@@57.58,57.30 ± 2.76 / 76.61 ± 1.73@@57.30,44.84 ± 3.09 / 69.58 ± 1.91@@44.84,71.16 ± 0.86 / 39.59 ± 1.37@@71.16,29.67 ± 0.19 / 34.09 ± 0.24@@29.67,61.16 ± 2.98 / 71.48 ± 2.10@@61.16,43.34 ± 2.58 / 57.15 ± 1.99@@43.34,84.71 ± 3.58 / 87.66 ± 2.97@@84.71,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.15.0.dev0@@161500,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,1.94@@1.94,?,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,58.50 ± 0.99 / 69.82 ± 0.78@@58.50,76.73 ± 1.26 / 62.90 ± 0.85@@76.73,76.34 ± 1.59 / 62.23 ± 1.28@@76.34,45.85 ± 2.00 / 71.25 ± 1.20@@45.85,32.23 ± 2.14 / 63.10 ± 1.43@@32.23,67.91 ± 0.68 / 42.64 ± 1.20@@67.91,29.16 ± 0.19 / 31.31 ± 0.24@@29.16,50.21 ± 2.08 / 62.46 ± 1.59@@50.21,33.19 ± 1.89 / 48.55 ± 1.43@@33.19,73.87 ± 2.32 / 79.22 ± 1.83@@73.87,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.94@@1.94,N/A,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,60.93 ± 2.03 / 74.35 ± 1.24@@60.93,63.13 ± 1.13 / 54.60 ± 3.05@@63.13,61.82 ± 1.56 / 53.95 ± 2.18@@61.82,61.06 ± 2.32 / 79.95 ± 1.59@@61.06,52.46 ± 2.63 / 75.17 ± 1.65@@52.46,73.98 ± 5.27 / 50.10 ± 6.45@@73.98,26.95 ± 0.72 / 27.39 ± 0.70@@26.95,49.09 ± 0.79 / 62.10 ± 0.60@@49.09,28.26 ± 1.30 / 46.08 ± 1.01@@28.26,75.84 ± 1.16 / 80.58 ± 0.95@@75.84,16.5.0.dev0@@160500,15.5.0@@150500,15.5.0@@150500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,15.5.0@@150500,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (val)</a>,📝,1.95@@1.95,12.39,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,59.85 ± 2.80 / 71.57 ± 1.77@@59.85,74.63 ± 2.94 / 50.80 ± 3.07@@74.63,71.22 ± 2.62 / 53.69 ± 2.92@@71.22,54.98 ± 4.04 / 76.79 ± 2.30@@54.98,44.88 ± 4.09 / 71.60 ± 2.47@@44.88,68.03 ± 3.18 / 39.80 ± 4.62@@68.03,27.80 ± 0.34 / 28.20 ± 0.37@@27.80,45.34 ± 2.99 / 58.48 ± 2.33@@45.34,23.88 ± 2.51 / 42.62 ± 1.99@@23.88,77.46 ± 2.97 / 81.72 ± 2.42@@77.46,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.96@@1.96,5.26,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,55.82 ± 1.25 / 69.94 ± 0.94@@55.82,68.51 ± 0.94 / 54.91 ± 1.92@@68.51,68.04 ± 1.33 / 56.67 ± 2.82@@68.04,54.10 ± 2.39 / 75.42 ± 2.05@@54.10,41.47 ± 2.09 / 66.76 ± 1.85@@41.47,75.51 ± 2.40 / 50.41 ± 3.36@@75.51,30.70 ± 0.17 / 34.47 ± 0.16@@30.70,37.56 ± 1.30 / 53.49 ± 0.96@@37.56,19.77 ± 1.03 / 39.86 ± 0.79@@19.77,73.58 ± 0.91 / 78.81 ± 0.72@@73.58,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.97@@1.97,N/A,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,58.26 ± 2.20 / 69.16 ± 2.04@@58.26,71.28 ± 1.03 / 67.11 ± 1.26@@71.28,72.23 ± 0.90 / 66.76 ± 1.29@@72.23,50.25 ± 2.99 / 74.11 ± 1.50@@50.25,46.21 ± 1.84 / 71.37 ± 1.34@@46.21,75.94 ± 2.47 / 53.03 ± 3.68@@75.94,25.33 ± 0.85 / 26.30 ± 0.96@@25.33,45.98 ± 2.46 / 60.35 ± 1.77@@45.98,33.34 ± 1.29 / 49.84 ± 0.94@@33.34,77.14 ± 1.80 / 81.41 ± 1.50@@77.14,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.98@@1.98,70.73,?,?,200000.0,✓,✗,✗,✓,57.18 ± 2.80 / 68.79 ± 2.13@@57.18,67.51 ± 2.57 / 50.03 ± 2.92@@67.51,59.33 ± 3.48 / 44.70 ± 3.17@@59.33,61.76 ± 2.09 / 80.38 ± 0.99@@61.76,33.17 ± 2.95 / 59.13 ± 2.40@@33.17,70.29 ± 0.68 / 37.90 ± 1.13@@70.29,29.59 ± 0.25 / 34.01 ± 0.30@@29.59,50.66 ± 3.31 / 63.87 ± 2.32@@50.66,32.36 ± 2.76 / 49.45 ± 2.00@@32.36,68.61 ± 5.69 / 74.53 ± 4.79@@68.61,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.98@@1.98,4.28,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,56.09 ± 0.98 / 69.58 ± 0.77@@56.09,63.81 ± 2.07 / 44.25 ± 2.59@@63.81,65.81 ± 1.44 / 46.52 ± 3.57@@65.81,56.97 ± 1.26 / 78.23 ± 0.58@@56.97,39.69 ± 1.95 / 69.56 ± 1.12@@39.69,69.85 ± 1.45 / 41.26 ± 1.57@@69.85,30.33 ± 0.09 / 34.72 ± 0.10@@30.33,44.77 ± 1.28 / 59.17 ± 0.95@@44.77,24.55 ± 1.08 / 43.32 ± 0.83@@24.55,78.10 ± 0.92 / 82.41 ± 0.75@@78.10,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,1.99@@1.99,0.04,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,58.15 ± 1.02 / 72.06 ± 0.70@@58.15,60.80 ± 1.54 / 32.61 ± 1.30@@60.80,63.63 ± 1.46 / 35.28 ± 2.43@@63.63,57.40 ± 2.03 / 76.95 ± 1.69@@57.40,45.94 ± 2.73 / 69.85 ± 2.55@@45.94,64.28 ± 2.31 / 36.32 ± 1.58@@64.28,30.77 ± 0.10 / 35.21 ± 0.09@@30.77,47.90 ± 1.07 / 61.02 ± 0.90@@47.90,19.08 ± 1.30 / 39.22 ± 0.97@@19.08,75.11 ± 1.29 / 80.00 ± 1.04@@75.11,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,17.0.0.dev0@@170000,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.01@@2.01,52.85,?,?,400000.0,✓,✗,✗,✓,51.67 ± 1.81 / 65.54 ± 1.17@@51.67,58.32 ± 1.27 / 38.28 ± 1.11@@58.32,56.67 ± 1.47 / 38.30 ± 1.41@@56.67,57.02 ± 1.53 / 78.07 ± 0.78@@57.02,51.64 ± 1.10 / 73.84 ± 0.54@@51.64,69.96 ± 0.29 / 43.61 ± 0.57@@69.96,27.22 ± 0.14 / 32.39 ± 0.16@@27.22,57.79 ± 1.20 / 68.87 ± 0.90@@57.79,43.35 ± 1.14 / 57.27 ± 0.88@@43.35,74.22 ± 1.13 / 79.22 ± 0.99@@74.22,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.01@@2.01,?,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,58.71 ± 2.07 / 70.09 ± 1.47@@58.71,63.73 ± 0.79 / 45.90 ± 1.28@@63.73,59.31 ± 1.22 / 43.00 ± 1.22@@59.31,48.62 ± 3.71 / 73.45 ± 2.09@@48.62,41.50 ± 2.15 / 67.22 ± 2.09@@41.50,66.54 ± 1.58 / 40.07 ± 1.58@@66.54,29.98 ± 0.19 / 34.00 ± 0.19@@29.98,42.95 ± 1.67 / 58.09 ± 1.21@@42.95,33.27 ± 1.80 / 49.88 ± 1.36@@33.27,73.85 ± 3.16 / 78.59 ± 2.65@@73.85,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.01@@2.01,?,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,56.80 ± 0.81 / 68.80 ± 0.72@@56.80,64.71 ± 2.57 / 61.49 ± 2.11@@64.71,64.81 ± 2.04 / 60.41 ± 2.32@@64.81,56.36 ± 2.09 / 77.64 ± 1.08@@56.36,41.50 ± 2.02 / 70.40 ± 0.98@@41.50,47.72 ± 1.06 / 34.49 ± 1.19@@47.72,28.82 ± 0.38 / 31.37 ± 0.53@@28.82,47.17 ± 1.49 / 59.53 ± 1.17@@47.17,40.66 ± 1.60 / 53.01 ± 1.26@@40.66,88.10 ± 1.88 / 90.31 ± 1.58@@88.10,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
