<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,4.13@@4.13,N/A,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,7.86 ± 2.37 / 18.77 ± 3.72@@7.86,25.30 ± 2.49 / 18.77 ± 1.68@@25.30,-1.27 ± 1.86 / 34.58 ± 1.45@@-1.27,19.01 ± 1.64 / 9.62 ± 1.50@@19.01,17.08 ± 1.74 / 18.13 ± 2.02@@17.08,-0.25 ± 1.58 / 28.14 ± 2.04@@-0.25,-0.33 ± 0.65 / 49.63 ± 0.49@@-0.33,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,4.14@@4.14,?,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,17.76 ± 2.19 / 43.00 ± 1.55@@17.76,30.21 ± 1.52 / 20.61 ± 0.86@@30.21,-1.82 ± 1.96 / 45.68 ± 1.00@@-1.82,2.50 ± 0.39 / 1.02 ± 0.23@@2.50,16.14 ± 0.38 / 18.45 ± 0.42@@16.14,-5.92 ± 4.11 / 20.17 ± 2.87@@-5.92,4.61 ± 2.44 / 52.19 ± 1.19@@4.61,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,4.17@@4.17,0.01,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,5.98 ± 1.93 / 30.03 ± 2.67@@5.98,13.12 ± 1.86 / 12.21 ± 1.29@@13.12,0.15 ± 1.27 / 37.66 ± 2.80@@0.15,4.57 ± 0.39 / 0.00 ± 0.00@@4.57,24.13 ± 0.74 / 26.43 ± 0.82@@24.13,-0.16 ± 1.86 / 22.08 ± 1.64@@-0.16,-0.78 ± 1.50 / 49.76 ± 0.68@@-0.78,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,4.22@@4.22,0.07,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,4.14 ± 2.39 / 25.27 ± 4.80@@4.14,19.19 ± 4.11 / 14.31 ± 1.84@@19.19,0.71 ± 0.84 / 34.13 ± 0.87@@0.71,5.76 ± 0.91 / 0.00 ± 0.00@@5.76,19.08 ± 1.66 / 20.14 ± 1.91@@19.08,0.44 ± 2.46 / 23.18 ± 2.05@@0.44,-0.62 ± 1.49 / 50.15 ± 0.59@@-0.62,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,4.23@@4.23,?,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,15.02 ± 1.36 / 38.19 ± 1.15@@15.02,18.78 ± 2.30 / 12.67 ± 1.11@@18.78,1.52 ± 0.99 / 49.44 ± 0.42@@1.52,12.29 ± 1.40 / 0.00 ± 0.00@@12.29,13.36 ± 0.90 / 15.90 ± 1.12@@13.36,0.00 ± 0.00 / 23.83 ± 1.27@@0.00,0.00 ± 0.00 / 49.06 ± 0.89@@0.00,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.24@@4.24,1.31,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,3.21 ± 1.66 / 20.73 ± 4.94@@3.21,8.78 ± 1.64 / 9.62 ± 1.11@@8.78,-0.70 ± 1.62 / 41.96 ± 3.93@@-0.70,4.21 ± 0.38 / 0.02 ± 0.04@@4.21,23.97 ± 0.77 / 26.40 ± 0.85@@23.97,0.17 ± 0.62 / 23.06 ± 1.50@@0.17,-0.41 ± 1.00 / 49.62 ± 0.61@@-0.41,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.27@@4.27,N/A,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,3.95 ± 2.66 / 17.66 ± 2.78@@3.95,19.06 ± 2.11 / 17.74 ± 1.72@@19.06,0.11 ± 1.58 / 35.80 ± 2.96@@0.11,2.26 ± 0.63 / 0.33 ± 0.22@@2.26,16.63 ± 2.55 / 17.85 ± 2.85@@16.63,0.56 ± 1.42 / 24.04 ± 1.64@@0.56,0.26 ± 1.46 / 49.65 ± 0.43@@0.26,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.27@@4.27,0.41,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,2.91 ± 2.74 / 20.03 ± 3.99@@2.91,12.37 ± 2.04 / 11.52 ± 1.40@@12.37,0.33 ± 0.79 / 37.77 ± 3.40@@0.33,2.20 ± 0.29 / 0.00 ± 0.00@@2.20,23.51 ± 0.70 / 25.87 ± 0.82@@23.51,-2.55 ± 2.25 / 20.20 ± 1.80@@-2.55,-0.38 ± 2.23 / 49.27 ± 0.83@@-0.38,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,4.32@@4.32,?,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,11.38 ± 2.87 / 36.66 ± 2.01@@11.38,20.48 ± 0.74 / 14.17 ± 0.61@@20.48,1.57 ± 3.71 / 50.39 ± 1.83@@1.57,13.36 ± 0.77 / 0.00 ± 0.00@@13.36,10.44 ± 0.82 / 12.64 ± 0.96@@10.44,0.00 ± 0.00 / 23.83 ± 1.27@@0.00,0.00 ± 0.00 / 49.06 ± 0.89@@0.00,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.37@@4.37,2.52,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,2.14 ± 1.95 / 17.06 ± 3.83@@2.14,12.31 ± 1.75 / 11.09 ± 0.95@@12.31,-0.74 ± 1.19 / 35.29 ± 2.82@@-0.74,3.47 ± 0.55 / 0.00 ± 0.00@@3.47,16.82 ± 2.12 / 17.87 ± 2.39@@16.82,1.35 ± 2.84 / 24.50 ± 1.79@@1.35,-0.99 ± 1.36 / 49.40 ± 0.60@@-0.99,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.37@@4.37,19.94,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,0.96 ± 0.91 / 22.02 ± 4.20@@0.96,13.02 ± 1.63 / 11.28 ± 1.11@@13.02,0.20 ± 1.30 / 38.17 ± 4.19@@0.20,2.49 ± 0.30 / 0.31 ± 0.15@@2.49,16.45 ± 2.16 / 17.92 ± 2.43@@16.45,-0.03 ± 0.16 / 23.74 ± 1.03@@-0.03,-0.25 ± 0.47 / 49.63 ± 0.50@@-0.25,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.14.0.dev0@@161400,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.37@@4.37,N/A,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,4.49 ± 3.73 / 26.24 ± 2.50@@4.49,9.34 ± 3.81 / 12.67 ± 1.97@@9.34,-0.04 ± 0.06 / 33.10 ± 0.37@@-0.04,2.77 ± 0.87 / 0.18 ± 0.13@@2.77,17.91 ± 1.88 / 19.65 ± 2.22@@17.91,0.96 ± 1.95 / 25.10 ± 1.28@@0.96,0.53 ± 0.93 / 49.84 ± 0.70@@0.53,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.44@@4.44,5.01,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,2.33 ± 1.60 / 23.87 ± 4.82@@2.33,10.73 ± 1.40 / 12.98 ± 1.38@@10.73,-0.39 ± 0.84 / 34.76 ± 2.20@@-0.39,2.05 ± 0.32 / 0.00 ± 0.00@@2.05,14.00 ± 2.25 / 14.94 ± 2.49@@14.00,0.08 ± 2.57 / 23.42 ± 2.19@@0.08,0.31 ± 0.54 / 50.00 ± 0.53@@0.31,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.47@@4.47,N/A,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,5.73 ± 2.68 / 22.82 ± 5.02@@5.73,9.53 ± 1.20 / 10.79 ± 0.86@@9.53,-0.40 ± 1.30 / 36.33 ± 3.25@@-0.40,3.66 ± 1.12 / 0.89 ± 0.47@@3.66,13.62 ± 1.13 / 14.66 ± 1.14@@13.62,0.21 ± 0.93 / 23.60 ± 1.23@@0.21,0.00 ± 0.00 / 49.64 ± 0.50@@0.00,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.51@@4.51,5.3,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,0.52 ± 0.52 / 16.84 ± 2.23@@0.52,18.29 ± 2.87 / 13.31 ± 1.60@@18.29,-0.58 ± 0.58 / 33.90 ± 0.39@@-0.58,0.57 ± 0.09 / 0.00 ± 0.00@@0.57,10.57 ± 0.52 / 11.51 ± 0.58@@10.57,0.00 ± 0.00 / 27.33 ± 3.28@@0.00,0.27 ± 0.27 / 51.56 ± 0.80@@0.27,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.58@@4.58,N/A,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,1.77 ± 2.03 / 19.53 ± 4.37@@1.77,8.47 ± 1.73 / 11.54 ± 1.75@@8.47,-1.31 ± 1.38 / 39.68 ± 4.08@@-1.31,2.06 ± 0.62 / 0.11 ± 0.12@@2.06,13.60 ± 2.38 / 14.43 ± 2.58@@13.60,-1.99 ± 2.29 / 28.52 ± 2.91@@-1.99,-0.82 ± 1.49 / 49.39 ± 0.70@@-0.82,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.58@@4.58,N/A,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,0.51 ± 0.91 / 14.05 ± 1.38@@0.51,6.42 ± 1.05 / 9.46 ± 0.86@@6.42,-0.03 ± 1.14 / 39.89 ± 3.41@@-0.03,1.70 ± 0.62 / 0.20 ± 0.22@@1.70,12.69 ± 2.10 / 13.72 ± 2.34@@12.69,-1.00 ± 1.55 / 23.26 ± 1.25@@-1.00,0.00 ± 0.00 / 49.64 ± 0.50@@0.00,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.14.0.dev0@@161400,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.81@@4.81,N/A,56656128.0,8192.0,2048.0,✓,✗,(✓),✓,0.94 ± 1.37 / 20.13 ± 4.58@@0.94,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-0.95 ± 1.28 / 41.53 ± 3.82@@-0.95,0.94 ± 0.17 / 0.00 ± 0.00@@0.94,5.38 ± 0.26 / 5.63 ± 0.28@@5.38,0.97 ± 1.06 / 22.48 ± 1.01@@0.97,-0.64 ± 2.54 / 49.94 ± 0.68@@-0.64,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.14.0.dev0@@161400,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,-@@100,0.04,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,46.65 ± 1.96 / 61.49 ± 1.38@@46.65,47.40 ± 2.24 / 28.02 ± 1.91@@47.40,0.50 ± 1.00 / 33.87 ± 0.46@@0.50,25.03 ± 1.77 / 1.85 ± 1.20@@25.03,-@@-1,5.50 ± 2.23 / 28.78 ± 1.48@@5.50,0.20 ± 2.40 / 49.95 ± 1.19@@0.20,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,-@@100,?,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,57.29 ± 2.20 / 68.27 ± 1.78@@57.29,47.98 ± 1.73 / 37.19 ± 1.52@@47.98,34.55 ± 1.45 / 64.94 ± 1.37@@34.55,37.68 ± 1.59 / 0.00 ± 0.00@@37.68,-@@-1,20.79 ± 2.15 / 39.44 ± 1.61@@20.79,42.91 ± 0.96 / 69.69 ± 0.58@@42.91,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,63.07 ± 0.99 / 73.10 ± 0.68@@63.07,55.96 ± 1.57 / 33.31 ± 2.89@@55.96,30.59 ± 1.50 / 61.99 ± 1.14@@30.59,-@@-1,-@@-1,-@@-1,-@@-1,16.1.0.dev0@@160100,16.1.1.dev0@@160101,16.1.1.dev0@@160101,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,-@@100,N/A,2023868416.0,64000.0,4096.0,✓,✗,(✓),✗,29.61 ± 4.01 / 33.54 ± 3.83@@29.61,19.88 ± 5.13 / 17.35 ± 2.38@@19.88,-1.22 ± 1.78 / 39.13 ± 2.66@@-1.22,59.14 ± 2.52 / 41.77 ± 2.51@@59.14,-@@-1,-1.04 ± 1.58 / 23.78 ± 1.28@@-1.04,0.62 ± 2.04 / 49.74 ± 0.56@@0.62,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,-@@0,16.3.0.dev0@@160300,16.0.0.dev0@@160000
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,-@@100,N/A,140642306.0,256000.0,8192.0,✓,✗,(✓),✓,27.87 ± 2.67 / 48.61 ± 2.29@@27.87,48.30 ± 3.14 / 49.59 ± 2.61@@48.30,12.51 ± 3.52 / 53.96 ± 2.60@@12.51,20.80 ± 1.33 / 12.98 ± 1.14@@20.80,-@@-1,-@@-1,-@@-1,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,-@@0,-@@0,-@@0
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,-@@100,N/A,307531778.0,256000.0,8192.0,✓,✗,(✓),✓,37.02 ± 6.23 / 54.69 ± 4.85@@37.02,55.71 ± 2.38 / 52.46 ± 2.55@@55.71,17.39 ± 5.88 / 57.01 ± 3.33@@17.39,26.91 ± 1.04 / 18.81 ± 1.37@@26.91,-@@-1,-@@-1,-@@-1,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,-@@0,-@@0
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-@@100,N/A,559890946.0,250002.0,512.0,✓,✗,(✓),✗,54.71 ± 1.29 / 60.81 ± 3.25@@54.71,55.68 ± 3.09 / 56.93 ± 1.60@@55.68,1.45 ± 2.28 / 48.48 ± 1.31@@1.45,29.56 ± 1.36 / 21.40 ± 1.76@@29.56,-@@-1,-@@-1,-@@-1,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,-@@0,-@@0
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-@@100,N/A,278044162.0,250002.0,512.0,✓,✗,(✓),✗,46.81 ± 1.77 / 60.30 ± 1.50@@46.81,65.16 ± 2.11 / 64.78 ± 1.27@@65.16,1.51 ± 2.06 / 47.73 ± 3.21@@1.51,14.76 ± 2.85 / 8.29 ± 1.96@@14.76,-@@-1,-@@-1,-@@-1,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3n-E4B'>google/gemma-3n-E4B</a>,🧠,-@@100,N/A,7849978192.0,262400.0,?,✓,✗,(✓),✓,36.75 ± 2.71 / 47.29 ± 2.50@@36.75,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,16.22 ± 1.43 / 57.88 ± 0.63@@16.22,15.16.0.dev0@@151600,-@@0,-@@0,-@@0,-@@0,-@@0,15.16.0.dev0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,-@@100,?,?,100256.0,272000.0,✓,✗,✗,✓,65.74 ± 2.38 / 74.14 ± 1.99@@65.74,56.40 ± 3.32 / 51.89 ± 2.93@@56.40,55.20 ± 2.41 / 77.22 ± 1.25@@55.20,62.42 ± 1.44 / 34.97 ± 1.63@@62.42,-@@-1,53.80 ± 6.28 / 65.50 ± 4.85@@53.80,78.38 ± 2.23 / 89.14 ± 1.09@@78.38,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,-@@100,5.56,?,?,1047576.0,✓,✗,✗,✓,58.16 ± 3.43 / 68.93 ± 2.44@@58.16,34.76 ± 2.45 / 23.44 ± 1.66@@34.76,19.06 ± 3.48 / 56.13 ± 1.73@@19.06,53.42 ± 1.49 / 21.11 ± 1.88@@53.42,-@@-1,4.67 ± 4.32 / 29.17 ± 3.87@@4.67,12.33 ± 3.58 / 55.78 ± 1.77@@12.33,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,-@@100,48.7,?,?,1047576.0,✓,✗,✗,✓,60.28 ± 2.90 / 70.24 ± 2.22@@60.28,40.82 ± 2.90 / 22.78 ± 1.11@@40.82,38.48 ± 1.67 / 67.19 ± 1.31@@38.48,62.40 ± 1.37 / 31.06 ± 1.33@@62.40,-@@-1,24.18 ± 7.10 / 44.00 ± 5.43@@24.18,42.65 ± 1.95 / 71.29 ± 1.02@@42.65,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,-@@100,N/A,574594434.0,250300.0,512.0,✓,✗,(✓),✓,33.40 ± 13.18 / 49.57 ± 10.18@@33.40,58.76 ± 1.17 / 55.69 ± 1.21@@58.76,13.98 ± 10.19 / 50.51 ± 8.69@@13.98,32.77 ± 1.21 / 24.78 ± 1.30@@32.77,-@@-1,-@@-1,-@@-1,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,-@@100,0.06,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,53.42 ± 2.62 / 65.64 ± 2.51@@53.42,44.57 ± 1.50 / 24.89 ± 1.00@@44.57,19.69 ± 2.03 / 59.07 ± 1.27@@19.69,60.58 ± 1.27 / 36.79 ± 1.22@@60.58,-@@-1,4.17 ± 1.94 / 27.56 ± 1.47@@4.17,20.68 ± 0.97 / 60.16 ± 0.45@@20.68,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,-@@0,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,-@@100,0.03,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,55.97 ± 1.92 / 67.35 ± 1.63@@55.97,46.90 ± 1.65 / 23.40 ± 1.47@@46.90,22.42 ± 4.09 / 45.41 ± 3.04@@22.42,62.91 ± 1.67 / 42.37 ± 1.50@@62.91,-@@-1,17.48 ± 1.24 / 38.04 ± 0.99@@17.48,20.85 ± 1.83 / 60.28 ± 0.86@@20.85,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,-@@100,N/A,?,128000.0,4096.0,✓,✗,(✓),✓,24.89 ± 3.40 / 28.57 ± 3.23@@24.89,50.38 ± 2.26 / 30.67 ± 1.64@@50.38,37.81 ± 5.74 / 58.86 ± 5.25@@37.81,71.70 ± 0.88 / 52.41 ± 1.57@@71.70,-@@-1,25.90 ± 2.04 / 44.04 ± 1.63@@25.90,32.69 ± 1.95 / 66.31 ± 0.96@@32.69,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,-@@100,13.67,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,53.79 ± 1.52 / 66.25 ± 1.11@@53.79,50.53 ± 1.59 / 32.28 ± 3.67@@50.53,0.92 ± 1.21 / 33.68 ± 0.34@@0.92,67.11 ± 1.25 / 45.97 ± 2.00@@67.11,-@@-1,13.65 ± 2.82 / 35.02 ± 1.90@@13.65,22.18 ± 2.24 / 59.25 ± 1.77@@22.18,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,-@@100,?,1791080448.0,120818.0,262144.0,✓,✗,(✓),✓,9.99 ± 1.18 / 33.76 ± 1.48@@9.99,16.89 ± 0.82 / 12.72 ± 0.95@@16.89,0.42 ± 1.19 / 40.01 ± 2.33@@0.42,6.21 ± 0.59 / 0.00 ± 0.00@@6.21,-@@-1,0.00 ± 0.00 / 23.58 ± 1.20@@0.00,0.00 ± 0.00 / 49.64 ± 0.50@@0.00,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
